,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2015,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,681.0,21376.0,733.0,14740.0,367.0,15263.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2015,Acute Care,Government - Hospital District or Authority,193.0,,,AL,49.0,21601.0,326.0,15087.0,631.0,14199.0
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2015,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,303.0,20247.0,631.0,14784.0,675.0,14018.0
3,MIZELL MEMORIAL HOSPITAL (010007),2015,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,99.0,12799.0,156.0,12131.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2015,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,32.0,14275.0,56.0,13821.0
5,ST VINCENT'S EAST (010011),2015,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,237.0,21921.0,271.0,16387.0,474.0,15418.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2015,Acute Care,Proprietary,115.0,,,AL,104.0,20284.0,136.0,16488.0,213.0,13969.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2015,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,207.0,21268.0,313.0,15281.0,317.0,14494.0
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2015,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,29.0,21489.0,311.0,15801.0,344.0,13894.0
9,DALE MEDICAL CENTER (010021),2015,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,70.0,14691.0,124.0,14003.0
10,CHEROKEE MEDICAL CENTER (010022),2015,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,31.0,15281.0,108.0,12134.0
11,BAPTIST MEDICAL CENTER SOUTH (010023),2015,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,270.0,21168.0,408.0,17255.0,156.0,14480.0
12,JACKSON HOSPITAL & CLINIC INC (010024),2015,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,243.0,24105.0,459.0,16242.0,347.0,14039.0
13,EAST ALABAMA MEDICAL CENTER (010029),2015,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,271.0,21744.0,540.0,13859.0,302.0,12773.0
14,WEDOWEE HOSPITAL (010032),2015,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,39.0,13952.0,90.0,12862.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2015,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,271.0,20233.0,466.0,14736.0,417.0,14840.0
16,COMMUNITY HOSPITAL INC (010034),2015,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,92.0,13643.0,104.0,13925.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2015,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,94.0,19803.0,400.0,14371.0,383.0,14791.0
18,ANDALUSIA REGIONAL HOSPITAL (010036),2015,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,139.0,13853.0,231.0,11471.0
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2015,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,59.0,21939.0,143.0,15924.0,181.0,14823.0
20,HUNTSVILLE HOSPITAL (010039),2015,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,,20858.0,,16212.0,906.0,15002.0
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2015,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,184.0,21005.0,399.0,16972.0,527.0,15186.0
22,MARION REGIONAL MEDICAL CENTER (010044),2015,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,28.0,13517.0,131.0,11748.0
23,FAYETTE MEDICAL CENTER (010045),2015,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,86.0,12653.0,154.0,12679.0
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2015,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,89.0,24780.0,307.0,15800.0,272.0,16032.0
25,GEORGIANA MEDICAL CENTER (010047),2015,Acute Care,Proprietary,22.0,,,AL,,,,,105.0,12223.0
26,MEDICAL CENTER ENTERPRISE (010049),2015,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,110.0,13116.0,156.0,12023.0
27,GREENE COUNTY HOSPITAL (010051),2015,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,41.0,11665.0,,
28,LAKE MARTIN COMMUNITY HOSPITAL (010052),2015,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,27.0,12676.0,96.0,11848.0
29,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2015,Acute Care,Proprietary,114.0,,,AL,41.0,22877.0,90.0,14422.0,128.0,13426.0
