,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2023,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,275.0,26507.0,531.0,19263.0,49.0,22212.0,382.0,21148.0
1,MARSHALL MEDICAL CENTERS (010005),2023,Acute Care,Government - Hospital District or Authority,193.0,,,AL,27.0,26566.0,119.0,16993.0,155.0,18030.0,272.0,19821.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2023,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,246.0,30471.0,371.0,19276.0,145.0,21898.0,445.0,20962.0
3,MIZELL MEMORIAL HOSPITAL (010007),2023,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,26.0,18952.0,,,82.0,20629.0
4,ST. VINCENT'S EAST (010011),2023,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,118.0,28272.0,214.0,19061.0,28.0,22002.0,283.0,22329.0
5,DEKALB REGIONAL MEDICAL CENTER (010012),2023,Acute Care,Proprietary,115.0,,,AL,38.0,24234.0,70.0,19099.0,40.0,23557.0,129.0,20256.0
6,SHELBY BAPTIST MEDICAL CENTER (010016),2023,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,74.0,29422.0,159.0,21790.0,80.0,21963.0,151.0,21279.0
7,HELEN KELLER HOSPITAL (010019),2023,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,195.0,18327.0,116.0,21554.0,194.0,18232.0
8,DALE MEDICAL CENTER (010021),2023,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,26.0,19533.0,,,50.0,19423.0
9,CHEROKEE MEDICAL CENTER (010022),2023,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,26.0,18808.0
10,BAPTIST MEDICAL CENTER SOUTH (010023),2023,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,186.0,29646.0,242.0,19068.0,143.0,19215.0,113.0,22253.0
11,JACKSON HOSPITAL & CLINIC INC (010024),2023,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,117.0,30696.0,229.0,19293.0,46.0,19083.0,187.0,21024.0
12,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2023,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,125.0,27738.0,282.0,19569.0,367.0,18937.0,178.0,20323.0
13,UNIVERSITY OF ALABAMA HOSPITAL (010033),2023,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,153.0,29149.0,504.0,18584.0,60.0,23595.0,294.0,21240.0
14,CULLMAN REGIONAL MEDICAL CENTER (010035),2023,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,63.0,26482.0,262.0,17088.0,42.0,21597.0,289.0,18087.0
