,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,403.0,24768.0,695.0,17939.0,173.0,22404.0,465.0,20712.0
1,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,54.0,26174.0,193.0,17427.0,163.0,19747.0,447.0,17267.0
2,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,329.0,24619.0,499.0,18251.0,302.0,23316.0,618.0,18955.0
3,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,63.0,16244.0,,,150.0,18239.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,30.0,18387.0
5,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,119.0,28563.0,290.0,18191.0,49.0,21703.0,311.0,18915.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,58.0,24247.0,123.0,17499.0,27.0,20598.0,255.0,19153.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,125.0,24856.0,189.0,20369.0,134.0,22006.0,252.0,19393.0
8,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,283.0,17265.0,297.0,22309.0,306.0,17944.0
9,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,40.0,18238.0,,,65.0,19624.0
10,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,204.0,25731.0,334.0,18896.0,400.0,19302.0,155.0,19325.0
11,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,183.0,28904.0,322.0,18834.0,201.0,19580.0,325.0,18979.0
12,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,174.0,25248.0,459.0,17326.0,532.0,20171.0,334.0,18494.0
13,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,179.0,26177.0,577.0,16944.0,142.0,24049.0,419.0,18926.0
14,COMMUNITY HOSPITAL INC (010034),2021,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,41.0,16021.0,,,35.0,17054.0
15,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,122.0,24722.0,377.0,16666.0,121.0,21073.0,397.0,17474.0
16,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,29.0,24747.0,208.0,15601.0,72.0,20716.0,171.0,18254.0
17,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,32.0,25084.0,69.0,17559.0,64.0,23815.0,83.0,18445.0
18,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,837.0,24516.0,1140.0,17791.0,1152.0,17743.0,1310.0,18347.0
