,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2017,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,716.0,22178.0,824.0,16525.0,335.0,26863.0,573.0,17230.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,65.0,22133.0,333.0,16321.0,244.0,23545.0,805.0,15882.0
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2017,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,389.0,22682.0,722.0,15465.0,385.0,24387.0,882.0,17023.0
3,MIZELL MEMORIAL HOSPITAL (010007),2017,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,91.0,13674.0,26.0,24231.0,197.0,14645.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2017,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,65.0,14699.0
5,ST VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,229.0,23900.0,354.0,15946.0,223.0,23861.0,534.0,17656.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2017,Acute Care,Proprietary,115.0,,,AL,136.0,23368.0,126.0,15938.0,,,238.0,17090.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2017,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,218.0,22668.0,356.0,16658.0,182.0,23283.0,371.0,17115.0
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,31.0,22166.0,352.0,16271.0,381.0,23870.0,394.0,17392.0
9,DALE MEDICAL CENTER (010021),2017,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,71.0,16503.0,38.0,23141.0,137.0,17207.0
10,CHEROKEE MEDICAL CENTER (010022),2017,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,31.0,16814.0,,,87.0,14129.0
11,BAPTIST MEDICAL CENTER SOUTH (010023),2017,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,310.0,22007.0,406.0,16705.0,539.0,22207.0,219.0,18688.0
12,JACKSON HOSPITAL & CLINIC INC (010024),2017,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,271.0,24419.0,450.0,16683.0,361.0,23562.0,599.0,17710.0
13,EAST ALABAMA MEDICAL CENTER (010029),2017,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,252.0,22508.0,644.0,14167.0,668.0,21053.0,605.0,16053.0
14,WEDOWEE HOSPITAL (010032),2017,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,37.0,18348.0,,,48.0,14899.0
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2017,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,370.0,20196.0,577.0,15933.0,340.0,24341.0,658.0,17545.0
16,COMMUNITY HOSPITAL INC (010034),2017,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,87.0,15277.0,,,142.0,17872.0
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2017,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,118.0,21390.0,475.0,15111.0,325.0,21582.0,574.0,17113.0
18,ANDALUSIA REGIONAL HOSPITAL (010036),2017,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,28.0,22218.0,156.0,13670.0,135.0,21911.0,298.0,15518.0
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2017,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,72.0,23850.0,117.0,16651.0,56.0,24016.0,170.0,15717.0
