,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,715.0,23394.0,813.0,17041.0,310.0,25812.0,534.0,18281.0
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,715.0,23394.0,813.0,17041.0,310.0,25812.0,534.0,18281.0
2,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,69.0,22579.0,308.0,15819.0,264.0,22747.0,736.0,15614.0
3,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,69.0,22579.0,308.0,15819.0,264.0,22747.0,736.0,15614.0
4,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,391.0,24002.0,672.0,16334.0,419.0,24491.0,800.0,17371.0
5,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,391.0,24002.0,672.0,16334.0,419.0,24491.0,800.0,17371.0
6,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,73.0,14541.0,31.0,23472.0,208.0,15226.0
7,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,73.0,14541.0,31.0,23472.0,208.0,15226.0
8,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,26.0,13767.0,,,58.0,14341.0
9,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,26.0,13767.0,,,58.0,14341.0
10,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,201.0,23940.0,386.0,16132.0,159.0,23792.0,480.0,17848.0
11,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,201.0,23940.0,386.0,16132.0,159.0,23792.0,480.0,17848.0
12,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,134.0,23853.0,129.0,15761.0,,,253.0,17896.0
13,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,134.0,23853.0,129.0,15761.0,,,253.0,17896.0
14,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,217.0,24008.0,349.0,17937.0,170.0,22367.0,352.0,18858.0
15,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,217.0,24008.0,349.0,17937.0,170.0,22367.0,352.0,18858.0
16,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,34.0,22948.0,327.0,17311.0,402.0,23130.0,369.0,17516.0
17,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,34.0,22948.0,327.0,17311.0,402.0,23130.0,369.0,17516.0
18,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,73.0,17651.0,,,125.0,17581.0
19,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,73.0,17651.0,,,125.0,17581.0
20,CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,29.0,17098.0,,,72.0,13812.0
21,FLOYD CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,29.0,17098.0,,,72.0,13812.0
22,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,329.0,23467.0,452.0,16826.0,568.0,20867.0,210.0,19776.0
23,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,329.0,23467.0,452.0,16826.0,568.0,20867.0,210.0,19776.0
24,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,268.0,25850.0,422.0,16463.0,337.0,21867.0,551.0,17710.0
25,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,268.0,25850.0,422.0,16463.0,337.0,21867.0,551.0,17710.0
26,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,253.0,23682.0,664.0,14465.0,709.0,21050.0,602.0,16309.0
27,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,253.0,23682.0,664.0,14465.0,709.0,21050.0,602.0,16309.0
28,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,28.0,19690.0,,,33.0,14957.0
29,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,28.0,19690.0,,,33.0,14957.0
30,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,370.0,21355.0,621.0,15763.0,304.0,24648.0,643.0,18019.0
31,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,370.0,21355.0,621.0,15763.0,304.0,24648.0,643.0,18019.0
32,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,80.0,15013.0,,,97.0,16522.0
33,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,80.0,15013.0,,,97.0,16522.0
34,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,125.0,23153.0,519.0,16272.0,317.0,21359.0,550.0,17412.0
