,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,14.5,4.5,8.9,13.7,12.5,16.2
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,14.5,4.5,8.9,13.7,12.5,16.2
2,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,15.5,,10.9,15.7,15.3,20.8
3,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,15.5,,10.9,15.7,15.3,20.8
4,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,14.9,3.2,8.8,17.2,13.2,17.2
5,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,14.9,3.2,8.8,17.2,13.2,17.2
6,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,8.3,15.9,13.3,21.6
7,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,8.3,15.9,13.3,21.6
8,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,8.0,,12.9,15.7
9,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,8.0,,12.9,15.7
10,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,14.1,3.7,8.9,12.4,13.1,16.1
11,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,14.1,3.7,8.9,12.4,13.1,16.1
12,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,16.0,,7.6,15.1,13.8,21.9
13,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,16.0,,7.6,15.1,13.8,21.9
14,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,16.0,3.3,7.1,13.9,13.2,16.4
15,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,16.0,3.3,7.1,13.9,13.2,16.4
16,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,14.1,,7.3,15.7,13.9,16.2
17,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,14.1,,7.3,15.7,13.9,16.2
18,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,6.4,,12.7,14.1
19,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,6.4,,12.7,14.1
20,CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,7.5,,12.6,17.3
21,FLOYD CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,7.5,,12.6,17.3
22,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,13.1,5.9,10.8,14.7,12.7,18.5
23,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,13.1,5.9,10.8,14.7,12.7,18.5
24,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,14.0,4.1,8.1,11.5,13.2,18.6
25,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,14.0,4.1,8.1,11.5,13.2,18.6
26,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,17.4,4.6,9.5,15.4,13.0,16.9
27,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,17.4,4.6,9.5,15.4,13.0,16.9
28,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,8.3,,12.3,16.9
29,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,8.3,,12.3,16.9
30,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,12.0,2.5,8.0,15.4,8.1,12.1
31,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,12.0,2.5,8.0,15.4,8.1,12.1
32,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,7.0,13.3,9.9,14.4
33,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,7.0,13.3,9.9,14.4
34,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,14.4,,7.5,17.0,12.8,19.1
35,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,14.4,,7.5,17.0,12.8,19.1
36,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,12.7,,7.5,12.9,9.3,15.3
37,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,12.7,,7.5,12.9,9.3,15.3
38,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,13.5,,6.5,14.3,12.4,13.5
39,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,13.5,,6.5,14.3,12.4,13.5
40,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,13.9,2.1,9.3,16.8,12.5,18.5
41,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,13.9,2.1,9.3,16.8,12.5,18.5
42,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,13.3,2.3,8.0,11.3,11.6,17.3
43,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,13.3,2.3,8.0,11.3,11.6,17.3
44,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,7.3,,9.9,13.5
45,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,7.3,,9.9,13.5
46,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,8.1,14.3,11.5,15.7
47,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,8.1,14.3,11.5,15.7
48,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,12.2,2.4,8.3,12.5,8.1,15.4
49,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,12.2,2.4,8.3,12.5,8.1,15.4
50,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,8.5,,11.9,15.2
51,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,,,8.5,,11.9,15.2
52,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,9.4,16.2,13.9,16.8
53,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,9.4,16.2,13.9,16.8
54,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,9.5,,,
55,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,9.5,,,
56,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,8.5,,,13.9
57,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,8.5,,,13.9
58,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,13.9,2.7,9.0,16.7,14.6,16.6
59,FLOWERS HOSPITAL (010055),2018,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,13.9,2.7,9.0,16.7,14.6,16.6
60,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,14.5,4.2,7.7,14.1,9.6,14.2
61,ST VINCENT'S BIRMINGHAM (010056),2018,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,14.5,4.2,7.7,14.1,9.6,14.2
62,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,12.3,17.5
63,BIBB MEDICAL CENTER (010058),2018,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,12.3,17.5
64,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,8.0,,11.3,15.0
65,LAWRENCE MEDICAL CENTER (010059),2018,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,8.0,,11.3,15.0
