,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2020,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,11.9,4.7,8.4,16.6,11.3,15.7
1,MARSHALL MEDICAL CENTERS (010005),2020,Acute Care,Government - Hospital District or Authority,193.0,,,AL,13.8,,9.9,17.1,16.8,19.5
2,NORTH ALABAMA MEDICAL CENTER (010006),2020,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,15.7,4.1,9.5,12.5,12.5,18.4
3,MIZELL MEMORIAL HOSPITAL (010007),2020,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,9.0,15.3,14.1,20.3
4,CRENSHAW COMMUNITY HOSPITAL (010008),2020,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,10.5,,12.0,17.8
5,ST. VINCENT'S EAST (010011),2020,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,15.7,3.6,9.2,14.5,10.9,18.4
6,DEKALB REGIONAL MEDICAL CENTER (010012),2020,Acute Care,Proprietary,115.0,,,AL,13.5,,7.0,13.4,13.8,18.1
7,SHELBY BAPTIST MEDICAL CENTER (010016),2020,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,12.2,2.7,8.5,12.0,11.3,15.3
8,HELEN KELLER HOSPITAL (010019),2020,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,13.2,,6.6,15.1,11.3,16.6
9,DALE MEDICAL CENTER (010021),2020,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,7.7,,10.9,13.8
10,CHEROKEE MEDICAL CENTER (010022),2020,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,7.4,,,14.8
11,BAPTIST MEDICAL CENTER SOUTH (010023),2020,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,13.1,4.5,9.8,14.4,11.6,20.2
12,JACKSON HOSPITAL & CLINIC INC (010024),2020,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,14.4,4.0,9.8,12.3,12.8,15.2
13,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2020,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,13.4,3.3,8.0,15.9,13.9,19.5
14,UNIVERSITY OF ALABAMA HOSPITAL (010033),2020,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,12.5,2.1,7.7,16.8,10.0,12.4
15,COMMUNITY HOSPITAL INC (010034),2020,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,6.8,12.6,9.4,15.0
16,CULLMAN REGIONAL MEDICAL CENTER (010035),2020,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,13.8,,8.4,16.2,12.8,17.6
17,ANDALUSIA HEALTH (010036),2020,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,12.4,,7.2,15.5,8.2,14.7
