,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.3847,-1.0689,1.628,0.3071,0.1619,-1.2795,-1.2795,0.4826,0.2182,No
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.3847,-1.0689,1.628,0.3071,0.1619,-1.2795,-1.2795,0.4826,0.2182,No
2,MARSHALL MEDICAL CENTERS (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.4575,-1.406,0.779,0.3862,-1.1238,-0.0362,-0.0362,-0.1814,-0.1596,No
3,MARSHALL MEDICAL CENTERS (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.4575,-1.406,0.779,0.3862,-1.1238,-0.0362,-0.0362,-0.1814,-0.1596,No
4,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.5594,-1.0153,0.0433,0.7678,-0.1508,0.034,0.034,0.0409,0.0398,No
5,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.5594,-1.0153,0.0433,0.7678,-0.1508,0.034,0.034,0.0409,0.0398,No
6,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,-1.5254,-1.9602,,,,-0.4543,-0.4543,-1.7428,-1.5495,No
7,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,-1.5254,-1.9602,,,,-0.4543,-0.4543,-1.7428,-1.5495,No
8,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,-0.0259,-0.0259,,-0.0259,No
9,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,-0.0259,-0.0259,,-0.0259,No
10,ST. VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,-0.3677,-0.5019,0.4188,-0.7663,-0.1753,1.0537,1.0537,-0.2785,-0.0787,No
11,ST. VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,-0.3677,-0.5019,0.4188,-0.7663,-0.1753,1.0537,1.0537,-0.2785,-0.0787,No
12,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,-1.5254,-1.2323,-1.511,-1.4551,0.1723,-0.7708,-0.7708,-1.1103,-1.0594,No
13,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,-1.5254,-1.2323,-1.511,-1.4551,0.1723,-0.7708,-0.7708,-1.1103,-1.0594,No
14,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,-0.1906,-0.6884,-0.1275,0.0294,-1.2181,-0.5317,-0.5317,-0.439,-0.4529,No
15,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,-0.1906,-0.6884,-0.1275,0.0294,-1.2181,-0.5317,-0.5317,-0.439,-0.4529,No
