,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,-0.4612,-0.3173,0.6029,-0.7886,-1.0731,-0.3375,-0.3958,No
1,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.5331,-0.685,2.2542,2.2,-1.062,0.0881,0.5547,Yes
2,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,-0.1304,-0.5237,-0.3226,0.202,-0.3705,0.6333,-0.0853,No
3,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,-1.5517,-0.3689,,,,-0.469,-0.7965,No
4,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,0.0247,0.0247,No
5,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.284,-0.5592,-0.4204,-0.1443,-0.1726,1.3464,0.0556,No
6,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,-1.0116,-0.7753,-1.3958,-1.4868,0.1879,-0.8723,-0.8923,No
7,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,-0.4549,-0.5076,-1.0277,0.3398,-1.2987,-0.0893,-0.5064,No
8,CALLAHAN EYE HOSPITAL (010018),2021,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,-0.0906,-0.0906,No
9,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,-1.2628,-0.4173,1.1353,0.4907,-0.8771,-0.1353,-0.1778,No
10,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,-1.3107,,,,1.3663,0.0278,No
11,CHEROKEE MEDICAL CENTER (010022),2021,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,-0.2625,,,,0.0655,-0.0985,No
12,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,0.6692,0.847,0.1682,1.1833,0.3636,1.6144,0.8076,Yes
13,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.8471,1.0276,1.1665,1.7922,-0.5609,0.1539,0.7377,Yes
14,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,-0.1556,-0.2109,-0.2478,-0.5781,-0.0561,-0.7619,-0.3351,No
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,-0.8714,-0.5431,-0.1958,0.3696,-0.1116,2.3824,0.1717,No
16,COMMUNITY HOSPITAL INC (010034),2021,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,-1.1333,,,,-0.1133,-0.6233,No
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,-0.4088,-1.5139,-1.3958,-0.2579,-0.5203,0.3929,-0.6173,No
18,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,-1.5517,0.1697,,0.2281,,-0.5698,-0.4309,No
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.4682,-0.9398,0.2244,,,1.3763,0.2823,No
20,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,-0.2539,-0.2689,0.0559,0.7755,-0.3002,0.0135,0.0036,No
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,-0.9091,-0.2625,0.4406,1.0418,-1.4855,0.4154,-0.1265,No
22,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,2.0113,,,,-0.0202,0.9956,Yes
23,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,1.1211,,,,-0.2515,0.4348,Yes
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,-1.5517,-0.6011,-0.5784,0.2225,-0.7477,-1.5047,-0.7935,No
25,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,-0.2874,0.1762,,,0.2933,-0.9133,-0.1828,No
26,GREENE COUNTY HOSPITAL (010051),2021,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,0.0868,0.0868,No
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2021,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,-0.0727,-0.0727,No
28,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,-0.2288,-0.7592,-1.1545,-1.1721,-1.295,-1.3692,-0.9965,No
