,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2016,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,,,66.0,374.0,68.0,34.0,94.0,50.0,,,,,81.0,3791.0,0.0,20.0,95.0,554.0,,,5.0,58189.0,,,,,,,74.0,545.0,201.0,372.0,270.0,545.0,86.0,118.0,0.0,43.0,64.0,14.0,83.0,65.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2016,Acute Care,Government - Hospital District or Authority,193.0,,,AL,99.0,233.0,25.0,1406.0,86.0,186.0,94.0,285.0,,,,,83.0,1665.0,,,97.0,916.0,,,2.0,70529.0,13.0,247.0,,,,,71.0,1070.0,113.0,1405.0,242.0,1208.0,59.0,301.0,1.0,199.0,,,100.0,18.0
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2016,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,,,11.0,381.0,68.0,111.0,81.0,101.0,,,,,87.0,2075.0,0.0,12.0,100.0,520.0,,,1.0,43373.0,,,,,,,74.0,447.0,141.0,359.0,212.0,512.0,62.0,126.0,0.0,37.0,64.0,11.0,94.0,34.0
3,MIZELL MEMORIAL HOSPITAL (010007),2016,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,92.0,38.0,38.0,856.0,0.0,164.0,0.0,63.0,,,,,53.0,300.0,,,99.0,297.0,,,2.0,11842.0,9.0,39.0,,,,,70.0,456.0,125.0,749.0,200.0,460.0,88.0,39.0,,,,,,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2016,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,27.0,384.0,47.0,15.0,82.0,22.0,,,,,43.0,207.0,,,91.0,286.0,,,0.0,6644.0,,,,,,,60.0,525.0,96.0,371.0,188.0,525.0,39.0,39.0,,,,,,
5,ST VINCENT'S EAST (010011),2016,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,,,53.0,367.0,84.0,51.0,41.0,64.0,,,0.0,12.0,53.0,1539.0,15.0,20.0,82.0,542.0,,,3.0,58181.0,,,,,,,62.0,554.0,161.0,370.0,285.0,572.0,73.0,220.0,0.0,25.0,0.0,22.0,100.0,19.0
6,DEKALB REGIONAL MEDICAL CENTER (010012),2016,Acute Care,Proprietary,115.0,,,AL,100.0,50.0,34.0,423.0,100.0,109.0,100.0,66.0,,,77.0,13.0,90.0,754.0,,,97.0,303.0,,,2.0,24963.0,1.0,51.0,,,,,46.0,397.0,129.0,401.0,187.0,397.0,59.0,161.0,12.0,66.0,,,,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2016,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,,,25.0,407.0,84.0,62.0,100.0,67.0,,,,,76.0,2017.0,0.0,15.0,100.0,599.0,,,1.0,45255.0,,,,,,,99.0,732.0,197.0,391.0,306.0,734.0,73.0,213.0,0.0,107.0,,,97.0,34.0
8,CALLAHAN EYE HOSPITAL (010018),2016,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,18.0,366.0,,,,,,,,,65.0,409.0,,,27.0,37.0,,,0.0,6101.0,,,,,,,,,106.0,363.0,142.0,16.0,,,,,,,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2016,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,100.0,105.0,21.0,384.0,95.0,95.0,100.0,96.0,,,64.0,11.0,82.0,1303.0,,,96.0,474.0,,,1.0,42701.0,3.0,111.0,,,42.0,13.0,58.0,612.0,111.0,371.0,184.0,612.0,64.0,161.0,7.0,102.0,,,,
10,DALE MEDICAL CENTER (010021),2016,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,100.0,22.0,21.0,486.0,66.0,35.0,63.0,46.0,,,,,96.0,462.0,,,100.0,320.0,,,2.0,17214.0,6.0,24.0,,,,,55.0,530.0,95.0,413.0,172.0,530.0,44.0,58.0,,,,,,
11,CHEROKEE MEDICAL CENTER (010022),2016,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,90.0,30.0,16.0,431.0,87.0,23.0,73.0,41.0,,,,,76.0,227.0,,,99.0,290.0,,,1.0,7845.0,9.0,31.0,,,,,78.0,243.0,95.0,395.0,254.0,243.0,48.0,58.0,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2016,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,,,36.0,508.0,90.0,48.0,82.0,38.0,,,36.0,14.0,70.0,3950.0,0.0,20.0,95.0,521.0,,,2.0,71553.0,,,,,,,243.0,714.0,166.0,484.0,427.0,736.0,66.0,158.0,2.0,110.0,86.0,28.0,96.0,25.0
13,JACKSON HOSPITAL & CLINIC INC (010024),2016,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,,,47.0,2300.0,100.0,134.0,100.0,76.0,,,,,54.0,2080.0,4.0,24.0,99.0,558.0,,,4.0,48276.0,,,,,,,135.0,741.0,139.0,2200.0,300.0,750.0,86.0,108.0,1.0,147.0,,,90.0,21.0
