,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2017,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,,,,,,0.296,21.0,70.848,89328.0,,,,,,1.979,9.0,4.548,89328.0,0.0,211.0,0.0,1.901,155.0,2.0,4.342,0.461
1,MARSHALL MEDICAL CENTER SOUTH (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,,,,,,0.088,1.0,11.389,37619.0,,,,,,0.728,1.0,1.373,39569.0,,42.0,0.0,0.401,63.0,0.0,1.77,0.0
2,MARSHALL MEDICAL CENTERS (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2017,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,,,,,,0.511,19.0,37.207,60008.0,,,,,,1.419,5.0,3.525,62990.0,,46.0,1.0,0.458,80.0,1.0,2.332,0.429
4,MIZELL MEMORIAL HOSPITAL (010007),2017,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,0.0,0.0,1.329,2772.0,,,,,,,0.0,0.082,3615.0,,2.0,0.0,0.014,11.0,0.0,0.281,
5,CRENSHAW COMMUNITY HOSPITAL (010008),2017,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,
6,ST VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,,,,,,0.626,56.0,89.437,88804.0,,,,,,0.325,3.0,9.233,91735.0,,105.0,0.0,0.949,234.0,3.0,6.12,0.49
7,ST. VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DEKALB REGIONAL MEDICAL CENTER (010012),2017,Acute Care,Proprietary,115.0,,,AL,,,,,,0.736,4.0,5.433,15208.0,,,,,,,0.0,0.576,15220.0,,1.0,0.0,0.008,17.0,1.0,0.425,
9,SHELBY BAPTIST MEDICAL CENTER (010016),2017,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,,,,,,0.485,17.0,35.027,50010.0,,,,,,0.699,2.0,2.86,50010.0,,92.0,0.0,0.807,241.0,0.0,6.631,0.0
