,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2019,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.082,,16.0,14.786,13269.0,0.43,30.0,69.766,94830.0,1.457,7283.0,,9.0,6.179,0.178,1.0,5.633,95739.0,0.0,210.0,0.0,1.809,171.0,0.0,4.763,0.0
1,MARSHALL MEDICAL CENTER SOUTH (010005),2019,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.694,,3.0,4.323,7022.0,0.302,4.0,13.258,38284.0,3.699,2487.0,,6.0,1.622,2.747,4.0,1.456,40558.0,,38.0,0.0,0.326,69.0,2.0,1.808,1.106
2,NORTH ALABAMA MEDICAL CENTER (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,1.452,,13.0,8.954,9703.0,0.501,13.0,25.965,59885.0,0.834,5898.0,,4.0,4.794,1.28,5.0,3.905,62462.0,,65.0,0.0,0.586,96.0,2.0,2.677,0.747
3,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MIZELL MEMORIAL HOSPITAL (010007),2019,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,0.0,0.767,1403.0,0.41,1.0,2.441,4460.0,,316.0,,0.0,0.194,,0.0,0.113,4460.0,,,,,11.0,0.0,0.26,
5,CRENSHAW COMMUNITY HOSPITAL (010008),2019,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,0.0,0.132,242.0,,1.0,0.291,1591.0,,49.0,,0.0,0.029,,0.0,0.037,1593.0,,,,,,,,
6,ST VINCENT'S EAST (010011),2019,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.031,,19.0,18.428,12487.0,0.469,43.0,91.719,83031.0,0.599,10690.0,,7.0,11.691,0.465,4.0,8.606,85689.0,,76.0,0.0,0.726,156.0,0.0,4.194,0.0
7,DEKALB REGIONAL MEDICAL CENTER (010012),2019,Acute Care,Proprietary,115.0,,,AL,0.0,,0.0,1.918,2782.0,0.325,2.0,6.155,16398.0,,845.0,,0.0,0.598,,0.0,0.53,16402.0,,,,,18.0,0.0,0.495,
8,SHELBY BAPTIST MEDICAL CENTER (010016),2019,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.455,,4.0,8.784,9536.0,0.482,12.0,24.872,42586.0,0.17,7241.0,,1.0,5.87,0.597,2.0,3.349,42586.0,,55.0,0.0,0.461,177.0,1.0,4.607,0.217
9,UAB CALLAHAN EYE HOSPITAL AUTHORITY (010018),2019,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,0.0,0.072,288.0,,,,,,,0.0,0.006,288.0,,,,,,,,
10,CALLAHAN EYE HOSPITAL (010018),2019,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HELEN KELLER MEMORIAL HOSPITAL (010019),2019,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.0,,0.0,3.739,5290.0,0.326,4.0,12.275,28282.0,0.0,1769.0,,0.0,1.224,0.0,0.0,1.409,30529.0,,14.0,0.0,0.141,57.0,2.0,1.475,1.356
12,DALE MEDICAL CENTER (010021),2019,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,0.0,0.279,528.0,0.0,0.0,2.824,8673.0,,400.0,,0.0,0.251,,0.0,0.179,8673.0,,,,,9.0,0.0,0.228,
13,FLOYD CHEROKEE MEDICAL CENTER (010022),2019,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,0.0,0.048,97.0,,1.0,0.783,3042.0,,149.0,,0.0,0.086,,0.0,0.063,2609.0,,,,,,,,
14,BAPTIST MEDICAL CENTER SOUTH (010023),2019,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.058,,28.0,26.454,14734.0,0.758,44.0,58.073,80749.0,0.586,12762.0,,9.0,15.361,1.071,7.0,6.539,88799.0,,37.0,1.0,0.373,153.0,3.0,5.028,0.597
15,JACKSON HOSPITAL & CLINIC INC (010024),2019,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.209,,12.0,9.922,11340.0,1.356,62.0,45.706,72139.0,1.431,8392.0,,10.0,6.986,1.225,5.0,4.083,74985.0,2.308,183.0,4.0,1.733,181.0,2.0,4.932,0.406
16,EAST ALABAMA MEDICAL CENTER (010029),2019,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.918,,7.0,7.625,9270.0,0.573,28.0,48.826,76920.0,1.097,5727.0,,5.0,4.558,0.549,3.0,5.461,81696.0,0.981,387.0,3.0,3.059,150.0,2.0,4.076,0.491
17,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2019,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,0.0,0.059,108.0,,0.0,0.201,833.0,,22.0,,0.0,0.013,,0.0,0.015,833.0,,,,,,,,
18,UNIVERSITY OF ALABAMA HOSPITAL (010033),2019,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.215,,18.0,83.841,40692.0,0.508,112.0,220.683,274327.0,0.628,37409.0,,28.0,44.553,0.911,29.0,31.835,331704.0,1.462,762.0,11.0,7.523,752.0,11.0,23.542,0.467
19,COMMUNITY HOSPITAL INC (010034),2019,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,0.0,0.276,551.0,0.62,1.0,1.614,4252.0,,22.0,,0.0,0.013,,0.0,0.1,4252.0,,,,,1.0,0.0,0.016,
20,CULLMAN REGIONAL MEDICAL CENTER (010035),2019,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.898,,5.0,5.569,7824.0,0.42,7.0,16.654,32400.0,0.439,3317.0,,1.0,2.277,0.0,0.0,1.493,33411.0,,36.0,0.0,0.342,78.0,0.0,2.026,0.0
21,ANDALUSIA HEALTH (010036),2019,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.0,,0.0,1.067,1976.0,0.708,5.0,7.063,14462.0,,57.0,,0.0,0.038,,0.0,0.631,15549.0,,4.0,0.0,0.039,11.0,0.0,0.27,
22,STRINGFELLOW MEMORIAL HOSPITAL (010038),2019,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.948,,1.0,1.055,2036.0,0.618,2.0,3.234,10325.0,,1127.0,,1.0,0.695,,1.0,0.244,10325.0,,2.0,0.0,0.014,5.0,0.0,0.152,
23,HUNTSVILLE HOSPITAL (010039),2019,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.825,,25.0,30.311,24155.0,0.51,116.0,227.236,241875.0,0.627,21434.0,,14.0,22.339,1.084,22.0,20.296,273950.0,0.887,756.0,6.0,6.761,638.0,12.0,17.936,0.669
24,GADSDEN REGIONAL MEDICAL CENTER (010040),2019,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.603,,8.0,13.261,13541.0,1.243,39.0,31.369,60795.0,1.421,7756.0,,9.0,6.335,2.929,10.0,3.414,62106.0,,83.0,0.0,0.779,101.0,0.0,2.719,0.0
25,MARION REGIONAL MEDICAL CENTER (010044),2019,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,0.0,0.074,222.0,,1.0,0.578,4460.0,,174.0,,0.0,0.102,,0.0,0.088,4460.0,,,,,,,,
26,FAYETTE MEDICAL CENTER (010045),2019,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,0.341,687.0,0.666,1.0,1.501,4831.0,,280.0,,1.0,0.163,,0.0,0.095,4831.0,,,,,16.0,0.0,0.4,
27,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2019,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.0,,0.0,3.486,4888.0,0.413,6.0,14.535,27002.0,0.407,3567.0,,1.0,2.457,0.778,1.0,1.286,27002.0,,1.0,0.0,0.011,48.0,0.0,1.242,0.0
28,GEORGIANA MEDICAL CENTER (010047),2019,Acute Care,Proprietary,22.0,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MEDICAL CENTER ENTERPRISE (010049),2019,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,1.0,0.683,1322.0,0.395,1.0,2.529,8523.0,,198.0,,0.0,0.121,,0.0,0.41,8554.0,,81.0,0.0,0.802,23.0,1.0,0.568,
30,GREENE COUNTY HOSPITAL (010051),2019,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,0.014,23.0,,1.0,0.093,513.0,,,,,,,0.0,0.009,513.0,,,,,,,,
