,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2023,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.388,,10.0,25.771,17566.0,0.759,56.0,73.743,103909.0,1.088,9627.0,,11.0,10.114,0.704,8.0,11.36,104366.0,,96.0,1.0,0.901,207.0,6.0,5.91,1.015
1,MARSHALL MEDICAL CENTERS (010005),2023,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.829,,4.0,4.826,8683.0,0.686,7.0,10.201,35069.0,2.697,3418.0,,6.0,2.225,0.503,1.0,1.99,37542.0,,41.0,0.0,0.342,89.0,4.0,2.444,1.637
2,NORTH ALABAMA MEDICAL CENTER (010006),2023,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.222,,3.0,13.518,10423.0,0.045,1.0,22.412,53278.0,0.583,6350.0,,4.0,6.863,0.907,4.0,4.41,62086.0,,11.0,0.0,0.095,86.0,0.0,2.284,0.0
3,MIZELL MEMORIAL HOSPITAL (010007),2023,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,1.0,0.748,1368.0,0.39,1.0,2.565,5537.0,,290.0,,0.0,0.178,,0.0,0.144,5537.0,,,,,6.0,0.0,0.155,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2023,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,0.0,0.21,388.0,,0.0,0.406,2215.0,,36.0,,0.0,0.021,,0.0,0.052,2215.0,,,,,,,,
5,ST. VINCENT'S EAST (010011),2023,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.684,,11.0,16.075,12513.0,0.635,38.0,59.84,83525.0,0.855,13013.0,,12.0,14.039,1.432,10.0,6.985,83525.0,,46.0,0.0,0.44,163.0,1.0,4.251,0.235
6,DEKALB REGIONAL MEDICAL CENTER (010012),2023,Acute Care,Proprietary,115.0,,,AL,0.0,,0.0,2.142,3095.0,0.304,1.0,3.293,8893.0,,739.0,,2.0,0.529,,2.0,0.373,8893.0,,37.0,1.0,0.401,25.0,1.0,0.692,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2023,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.322,,3.0,9.303,10925.0,0.536,9.0,16.797,38113.0,0.354,7137.0,,2.0,5.65,0.696,2.0,2.873,38113.0,,6.0,0.0,0.045,106.0,1.0,2.994,0.334
8,CALLAHAN EYE HOSPITAL (010018),2023,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,0.0,0.092,370.0,,,,,,,0.0,0.008,370.0,,,,,,,,
9,HELEN KELLER HOSPITAL (010019),2023,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.55,,3.0,5.454,7660.0,0.464,5.0,10.779,26423.0,2.317,3736.0,,6.0,2.589,4.04,6.0,1.485,28486.0,,33.0,0.0,0.318,54.0,4.0,1.366,2.928
10,DALE MEDICAL CENTER (010021),2023,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,1.0,0.613,1178.0,0.358,1.0,2.796,6687.0,,462.0,,0.0,0.292,,0.0,0.187,6987.0,,,,,14.0,1.0,0.389,
11,CHEROKEE MEDICAL CENTER (010022),2023,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,0.0,0.044,90.0,,0.0,0.916,4672.0,,15.0,,0.0,0.009,,0.0,0.101,4672.0,,,,,,,,
12,BAPTIST MEDICAL CENTER SOUTH (010023),2023,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.394,,45.0,32.273,16895.0,0.711,28.0,39.379,78750.0,1.957,13804.0,,32.0,16.349,2.64,19.0,7.198,85245.0,,80.0,1.0,0.868,164.0,8.0,5.46,1.465
13,JACKSON HOSPITAL & CLINIC INC (010024),2023,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,2.028,,22.0,10.849,12572.0,0.846,38.0,44.905,72288.0,3.803,9520.0,,30.0,7.889,3.316,18.0,5.428,74702.0,,72.0,0.0,0.779,156.0,2.0,4.476,0.447
14,THE EAST ALABAMA HEALTHCARE AUTHORITY (010029),2023,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.734,,7.0,9.535,7665.0,0.603,34.0,56.397,81586.0,0.959,6910.0,,7.0,7.302,0.539,3.0,5.565,87343.0,2.944,411.0,10.0,3.397,180.0,5.0,4.817,1.038
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2023,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.584,,54.0,92.485,49746.0,0.393,107.0,272.164,335276.0,1.004,45987.0,,55.0,54.773,1.901,75.0,39.459,379047.0,1.585,567.0,9.0,5.68,1056.0,23.0,33.589,0.685
16,COMMUNITY HOSPITAL INC (010034),2023,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,0.0,0.248,506.0,,2.0,0.575,1890.0,,96.0,,0.0,0.055,,0.0,0.04,1890.0,,,,,,,,
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2023,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.116,,8.0,7.169,10205.0,0.301,4.0,13.308,35142.0,0.54,2643.0,,1.0,1.851,0.0,0.0,1.578,36056.0,,60.0,0.0,0.581,72.0,3.0,1.991,1.507
18,ANDALUSIA HEALTH (010036),2023,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.0,,0.0,1.0,1836.0,0.0,0.0,2.477,8172.0,,,,,,,0.0,0.414,8730.0,,8.0,0.0,0.061,19.0,0.0,0.465,
19,STRINGFELLOW CAMPUS OF NORTHEAST RMC (010038),2023,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
20,HUNTSVILLE HOSPITAL (010039),2023,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.906,,40.0,44.167,27503.0,0.749,124.0,165.572,204150.0,1.601,22437.0,,40.0,24.992,1.975,33.0,16.708,232684.0,0.648,693.0,4.0,6.169,444.0,12.0,12.442,0.964
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2023,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,0.697,,8.0,11.485,12156.0,0.079,2.0,25.362,56658.0,1.448,5947.0,,7.0,4.834,2.139,9.0,4.208,56658.0,,37.0,0.0,0.365,85.0,0.0,2.316,0.0
22,MARION REGIONAL MEDICAL CENTER (010044),2023,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,0.0,0.095,287.0,,0.0,0.524,3343.0,,122.0,,0.0,0.072,,0.0,0.055,3343.0,,,,,,,,
23,FAYETTE MEDICAL CENTER (010045),2023,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,0.178,363.0,,0.0,0.657,2749.0,,79.0,,0.0,0.045,,0.0,0.064,2749.0,,,,,1.0,0.0,0.021,
24,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2023,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.0,,0.0,6.691,9341.0,0.181,3.0,16.577,28887.0,0.354,4011.0,,1.0,2.823,0.0,0.0,2.015,28887.0,,,,,48.0,0.0,1.35,0.0
25,MEDICAL CENTER ENTERPRISE (010049),2023,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,0.0,,0.0,1.49,2893.0,1.057,4.0,3.784,12383.0,,1240.0,,3.0,0.77,,1.0,0.448,12512.0,,35.0,0.0,0.358,28.0,1.0,0.712,
26,GREENE COUNTY HOSPITAL (010051),2023,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,,,0.0,0.272,1496.0,,,,,,,0.0,0.035,1496.0,,,,,,,,
27,LAKE MARTIN COMMUNITY HOSPITAL (010052),2023,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,0.0,0.208,382.0,,0.0,0.435,2054.0,,,,,,,0.0,0.036,2054.0,,,,,,,,
28,FLOWERS HOSPITAL (010055),2023,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.6,,6.0,10.003,13375.0,0.522,13.0,24.884,56547.0,0.813,5263.0,,3.0,3.691,1.567,4.0,2.552,56547.0,1.019,308.0,3.0,2.943,64.0,0.0,1.801,0.0
29,ST VINCENT'S BIRMINGHAM (010056),2023,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.527,,11.0,20.865,16288.0,0.466,31.0,66.586,92977.0,0.441,12571.0,,6.0,13.613,0.741,8.0,10.803,99260.0,0.614,393.0,2.0,3.256,329.0,2.0,8.53,0.234
30,BIBB MEDICAL CENTER (010058),2023,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,0.0,0.397,730.0,0.0,0.0,1.465,3700.0,,281.0,,0.0,0.164,,0.0,0.097,3700.0,,,,,,,,
31,LAWRENCE MEDICAL CENTER (010059),2023,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,0.0,0.133,272.0,,0.0,0.422,1933.0,,102.0,,0.0,0.06,,0.0,0.05,1933.0,,,,,,,,
32,HIGHLANDS MEDICAL CENTER (010061),2023,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,4.419,,7.0,1.584,2901.0,0.561,4.0,7.128,9195.0,,1392.0,,2.0,0.888,,0.0,0.434,9704.0,,24.0,0.0,0.192,5.0,0.0,0.12,
33,WIREGRASS MEDICAL CENTER (010062),2023,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,0.0,0.222,428.0,0.0,0.0,1.44,4700.0,,147.0,,0.0,0.091,,0.0,0.083,4700.0,,5.0,0.0,0.054,4.0,0.0,0.091,
34,RUSSELL MEDICAL CENTER (010065),2023,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,0.0,,0.0,1.667,2817.0,1.84,5.0,2.717,5737.0,,934.0,,3.0,0.705,,1.0,0.164,5737.0,,1.0,0.0,0.008,13.0,0.0,0.388,
35,MEDICAL CENTER BARBOUR (010069),2023,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,,,0.0,0.69,1340.0,0.0,0.0,1.413,4641.0,,701.0,,0.0,0.443,,0.0,0.11,4641.0,,,,,1.0,0.0,0.024,
36,CLAY COUNTY HOSPITAL (010073),2023,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,,,0.0,0.225,409.0,0.0,0.0,1.055,4775.0,,41.0,,0.0,0.026,,0.0,0.105,4775.0,,,,,,,,
37,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER (010078),2023,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,0.377,,2.0,5.305,6746.0,1.148,41.0,35.701,62136.0,0.301,4826.0,,1.0,3.323,1.118,4.0,3.579,66632.0,,80.0,1.0,0.804,141.0,0.0,3.963,0.0
38,ATHENS LIMESTONE HOSPITAL (010079),2023,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,0.848,,2.0,2.358,4436.0,0.0,0.0,5.712,15121.0,,1365.0,,1.0,0.841,0.966,1.0,1.035,15914.0,,26.0,0.0,0.282,39.0,0.0,1.028,0.0
39,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2023,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,0.251,,1.0,3.991,3753.0,0.208,2.0,9.6,24102.0,0.0,1937.0,,0.0,1.815,0.743,1.0,1.345,24102.0,,1.0,0.0,0.008,21.0,0.0,0.491,
40,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS (010085),2023,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,0.22,,2.0,9.098,10566.0,0.185,4.0,21.566,57605.0,0.279,4372.0,,1.0,3.582,0.339,1.0,2.947,58262.0,,52.0,0.0,0.408,94.0,1.0,2.503,0.4
41,NORTHWEST MEDICAL CENTER (010086),2023,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,,,1.0,0.512,994.0,,0.0,0.804,3523.0,,284.0,,0.0,0.172,,1.0,0.091,3523.0,,5.0,0.0,0.061,10.0,0.0,0.292,
42,USA HEALTH UNIVERSITY HOSPITAL (010087),2023,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,0.365,,8.0,21.946,10506.0,0.619,29.0,46.817,81478.0,1.297,14255.0,,25.0,19.282,1.748,12.0,6.866,81508.0,,9.0,0.0,0.085,194.0,1.0,5.878,0.17
