,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2015,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,3.464,,31.0,8.949,7450.0,0.85,58.0,68.217,96420.0,1.818,2199.0,,6.0,3.3,1.391,10.0,7.187,99435.0,,58.0,1.0,0.713,171.0,4.0,5.868,0.682
1,MARSHALL MEDICAL CENTER SOUTH (010005),2015,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.523,,2.0,3.823,2940.0,0.275,5.0,18.213,38394.0,0.763,873.0,,1.0,1.311,1.761,3.0,1.703,40381.0,,43.0,0.0,0.551,78.0,0.0,2.722,0.0
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2015,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.085,,1.0,11.704,7004.0,0.788,24.0,30.468,59209.0,0.22,5449.0,,2.0,9.082,0.994,3.0,3.017,62068.0,1.718,103.0,2.0,1.164,102.0,6.0,3.507,1.711
3,MIZELL MEMORIAL HOSPITAL (010007),2015,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,0.0,0.692,266.0,0.243,1.0,4.121,8775.0,,39.0,,0.0,0.09,,0.0,0.314,8775.0,,,,,6.0,0.0,0.19,
4,CRENSHAW COMMUNITY HOSPITAL (010008),2015,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,0.0,0.796,1749.0,,,,,,,0.0,0.045,1749.0,,,,,,,,
5,ST VINCENT'S EAST (010011),2015,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.723,,17.0,23.504,10171.0,0.913,78.0,85.421,94054.0,0.445,7913.0,,8.0,17.997,1.293,8.0,6.186,94054.0,1.446,137.0,2.0,1.383,142.0,3.0,4.652,0.645
6,DEKALB REGIONAL MEDICAL CENTER (010012),2015,Acute Care,Proprietary,115.0,,,AL,0.0,,0.0,2.148,1652.0,0.261,2.0,7.677,15954.0,,351.0,,0.0,0.527,,0.0,0.934,15981.0,,31.0,1.0,0.381,20.0,1.0,0.667,
7,SHELBY BAPTIST MEDICAL CENTER (010016),2015,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.631,,8.0,12.673,6092.0,0.61,21.0,34.454,54598.0,0.442,4783.0,,4.0,9.049,1.439,4.0,2.779,54598.0,,84.0,0.0,0.834,194.0,2.0,6.255,0.32
8,CALLAHAN EYE HOSPITAL (010018),2015,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,0.0,0.151,253.0,,,,,,,0.0,0.012,253.0,,,,,,,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2015,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.0,,0.0,2.174,1672.0,0.594,7.0,11.781,21669.0,0.0,843.0,,0.0,1.266,0.576,1.0,1.737,24053.0,,47.0,0.0,0.527,78.0,1.0,2.476,0.404
