,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.289,,6.0,20.775,14906.0,0.604,46.0,76.104,103069.0,0.555,8631.0,,5.0,9.008,0.871,7.0,8.037,103069.0,0.0,224.0,0.0,2.029,179.0,2.0,5.28,0.379
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,1.055,,5.0,4.738,8604.0,0.601,6.0,9.977,33275.0,1.65,2863.0,,3.0,1.818,2.78,4.0,1.439,35424.0,,33.0,0.0,0.297,90.0,1.0,2.435,0.411
3,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.442,,5.0,11.323,10444.0,0.212,6.0,28.238,63359.0,0.987,6282.0,,6.0,6.08,1.232,6.0,4.87,64010.0,,26.0,0.0,0.254,82.0,0.0,2.135,0.0
4,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,0.0,0.698,1277.0,0.0,0.0,2.145,5445.0,,182.0,,0.0,0.113,,0.0,0.148,5445.0,,,,,8.0,0.0,0.211,
5,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,0.0,0.218,399.0,,0.0,0.67,3653.0,,83.0,,0.0,0.048,,0.0,0.101,4337.0,,,,,,,,
6,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.993,,15.0,15.105,11730.0,0.359,30.0,83.614,81229.0,0.424,10904.0,,5.0,11.798,0.802,6.0,7.481,81229.0,,56.0,0.0,0.498,144.0,1.0,3.829,0.261
7,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,0.0,,0.0,2.137,3098.0,0.493,2.0,4.054,11013.0,,750.0,,0.0,0.527,,0.0,0.427,11013.0,,31.0,0.0,0.318,21.0,2.0,0.572,
8,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.547,,5.0,9.136,10293.0,0.498,10.0,20.081,45221.0,0.315,7712.0,,2.0,6.345,0.847,3.0,3.542,45221.0,,66.0,0.0,0.596,139.0,0.0,3.942,0.0
9,CALLAHAN EYE HOSPITAL (010018),2021,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,,,,,0.0,0.098,395.0,,,,,,,0.0,0.008,395.0,,,,,,,,
10,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,0.706,,3.0,4.252,5973.0,0.455,5.0,10.99,27108.0,2.572,2217.0,,4.0,1.555,2.092,3.0,1.434,29120.0,,76.0,0.0,0.629,46.0,0.0,1.203,0.0
11,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,0.0,0.637,1218.0,0.457,1.0,2.186,6509.0,,678.0,,0.0,0.434,,0.0,0.13,6509.0,,,,,6.0,1.0,0.17,
12,CHEROKEE MEDICAL CENTER (010022),2021,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,0.0,0.032,67.0,,0.0,0.832,3417.0,,13.0,,0.0,0.008,,0.0,0.074,3417.0,,,,,,,,
