,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2017,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,9.0,35.1,4.6,5.9,1.6,1.5
1,MARSHALL MEDICAL CENTER SOUTH (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,16.1,43.0,4.3,3.9,1.8,8.9
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2017,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,12.9,36.5,6.8,3.5,1.6,4.2
3,MIZELL MEMORIAL HOSPITAL (010007),2017,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,15.5,,20.3,,,7.5
4,CRENSHAW COMMUNITY HOSPITAL (010008),2017,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,1.9,,,,,
5,ST VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,4.8,40.7,,,1.8,9.6
6,DEKALB REGIONAL MEDICAL CENTER (010012),2017,Acute Care,Proprietary,115.0,,,AL,8.7,57.1,4.9,5.7,,3.8
7,SHELBY BAPTIST MEDICAL CENTER (010016),2017,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,22.9,37.1,10.0,6.9,1.2,0.6
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,19.4,35.8,4.6,,2.2,1.0
9,DALE MEDICAL CENTER (010021),2017,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,4.3,50.0,8.3,4.7,1.4,0.0
10,CHEROKEE MEDICAL CENTER (010022),2017,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,0.9,,4.6,,,2.8
11,BAPTIST MEDICAL CENTER SOUTH (010023),2017,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,4.1,40.0,5.8,0.0,1.9,0.4
12,JACKSON HOSPITAL & CLINIC INC (010024),2017,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,18.2,50.0,4.5,,1.1,0.2
13,EAST ALABAMA MEDICAL CENTER (010029),2017,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,13.4,40.6,7.5,5.3,2.2,1.1
14,WEDOWEE HOSPITAL (010032),2017,Acute Care,Government - Hospital District or Authority,30.0,,,AL,0.9,,,,0.5,
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2017,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,22.3,40.7,7.0,10.5,1.5,0.1
16,COMMUNITY HOSPITAL INC (010034),2017,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,10.8,,5.7,,,7.6
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2017,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,7.0,45.9,5.0,5.2,1.2,3.5
18,ANDALUSIA REGIONAL HOSPITAL (010036),2017,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,9.9,29.1,5.2,1.2,1.5,16.5
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2017,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,6.4,,10.3,3.5,1.6,8.7
20,HUNTSVILLE HOSPITAL (010039),2017,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,16.0,44.1,6.0,5.7,2.7,0.2
21,GADSDEN REGIONAL MEDICAL CENTER (010040),2017,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,12.0,38.9,6.8,5.3,1.4,4.3
