,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2014,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,4.6,29.3,5.0,8.0,2.9,2.5
1,MARSHALL MEDICAL CENTER SOUTH (010005),2014,Acute Care,Government - Hospital District or Authority,193.0,,,AL,12.4,43.5,3.4,6.9,4.1,9.7
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2014,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,12.8,44.0,8.2,4.8,3.7,5.4
3,MIZELL MEMORIAL HOSPITAL (010007),2014,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,34.7,,12.8,,,1.5
4,CRENSHAW COMMUNITY HOSPITAL (010008),2014,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,5.0,,7.4,,,
5,ST VINCENT'S EAST (010011),2014,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,6.2,41.4,,,2.9,12.9
6,DEKALB REGIONAL MEDICAL CENTER (010012),2014,Acute Care,Proprietary,115.0,,,AL,15.4,35.9,5.0,6.3,,18.9
7,SHELBY BAPTIST MEDICAL CENTER (010016),2014,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,32.9,38.7,9.8,3.6,3.2,1.0
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2014,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,12.4,40.3,3.7,,5.6,0.8
9,DALE MEDICAL CENTER (010021),2014,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,12.2,42.3,7.0,4.8,5.6,4.8
10,CHEROKEE MEDICAL CENTER (010022),2014,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,2.0,,3.4,,,6.0
11,BAPTIST MEDICAL CENTER SOUTH (010023),2014,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,20.7,36.4,5.6,,3.8,2.0
12,JACKSON HOSPITAL & CLINIC INC (010024),2014,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,12.6,48.9,3.3,,2.7,0.0
13,GEORGE H. LANIER MEMORIAL HOSPITAL (010025),2014,Acute Care,Voluntary non-profit - Other,187.0,,,AL,48.3,,14.2,,,19.1
14,EAST ALABAMA MEDICAL CENTER (010029),2014,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,52.9,37.8,7.3,5.5,3.8,0.8
15,WEDOWEE HOSPITAL (010032),2014,Acute Care,Government - Hospital District or Authority,30.0,,,AL,8.6,,12.0,,5.4,
16,UNIVERSITY OF ALABAMA HOSPITAL (010033),2014,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,5.4,29.6,,7.0,4.3,0.3
17,COMMUNITY HOSPITAL INC (010034),2014,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,17.9,,8.9,,,9.1
18,CULLMAN REGIONAL MEDICAL CENTER (010035),2014,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,6.6,42.6,6.2,11.3,3.1,13.8
19,ANDALUSIA REGIONAL HOSPITAL (010036),2014,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,9.1,29.9,6.2,,,9.0
20,STRINGFELLOW MEMORIAL HOSPITAL (010038),2014,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,8.8,49.6,19.0,8.6,,9.7
21,HUNTSVILLE HOSPITAL (010039),2014,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,22.0,37.1,6.6,7.5,5.1,0.5
22,GADSDEN REGIONAL MEDICAL CENTER (010040),2014,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,15.7,43.3,7.0,6.6,4.2,15.3
23,MARION REGIONAL MEDICAL CENTER (010044),2014,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,7.9,52.3,,,,4.5
24,FAYETTE MEDICAL CENTER (010045),2014,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,1.7,42.9,18.0,,,1.8
25,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2014,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,7.4,34.8,,,,9.3
26,GEORGIANA MEDICAL CENTER (010047),2014,Acute Care,Proprietary,22.0,,,AL,8.5,,,,14.6,
27,MEDICAL CENTER ENTERPRISE (010049),2014,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,3.4,37.2,5.1,7.2,5.1,1.2
28,GREENE COUNTY HOSPITAL (010051),2014,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,,,0.0,
29,LAKE MARTIN COMMUNITY HOSPITAL (010052),2014,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,0.0,,,5.6,,
30,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2014,Acute Care,Proprietary,114.0,,,AL,4.2,32.1,15.0,1.9,,0.0
31,FLOWERS HOSPITAL (010055),2014,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,5.4,36.6,5.8,6.9,3.4,0.3
32,ST VINCENT'S BIRMINGHAM (010056),2014,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,4.8,42.4,6.9,8.5,4.0,0.1
33,BIBB MEDICAL CENTER (010058),2014,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,9.7,,11.7,,,
34,LAWRENCE MEDICAL CENTER (010059),2014,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,2.4,,12.8,,6.0,0.0
35,HIGHLANDS MEDICAL CENTER (010061),2014,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,3.9,33.3,,6.9,4.1,0.0
36,WIREGRASS MEDICAL CENTER (010062),2014,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,40.3,,9.3,,1.1,0.0
37,RUSSELL HOSPITAL (010065),2014,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,7.7,38.5,8.9,,2.2,4.2
38,MEDICAL CENTER BARBOUR (010069),2014,Acute Care,Government - Hospital District or Authority,47.0,31.88798,-85.156613,AL,11.3,,6.0,3.0,,6.0
39,CLAY COUNTY HOSPITAL (010073),2014,Acute Care,Government - Hospital District or Authority,137.0,33.276548,-85.823789,AL,3.8,,6.4,2.9,,5.5
40,NORTHEAST ALABAMA REGIONAL MED CENTER (010078),2014,Acute Care,Government - Local,279.0,33.657123,-85.823353,AL,11.2,38.2,9.7,5.2,3.8,0.9
41,ATHENS-LIMESTONE HOSPITAL (010079),2014,Acute Care,Government - Hospital District or Authority,81.0,34.803499,-86.977803,AL,24.2,40.4,9.2,10.1,6.5,0.0
42,SOUTH BALDWIN REGIONAL MEDICAL CENTER (010083),2014,Acute Care,Proprietary,112.0,30.426109,-87.683187,AL,12.4,31.4,4.4,3.6,3.1,6.8
43,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS (010085),2014,Acute Care,Government - Hospital District or Authority,265.0,34.591168,-86.972621,AL,9.0,39.0,9.4,7.5,0.6,5.6
44,NORTHWEST MEDICAL CENTER (010086),2014,Acute Care,Proprietary,62.0,33.929316,-87.824507,AL,8.0,42.4,11.6,4.5,,3.7
45,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER (010087),2014,Acute Care,Government - State,161.0,30.708121,-88.099441,AL,22.7,,,5.2,4.8,14.3
46,WALKER BAPTIST MEDICAL CENTER (010089),2014,Acute Care,Voluntary non-profit - Private,222.0,33.841142,-87.236879,AL,11.1,39.4,5.1,3.1,2.4,14.5
47,PROVIDENCE HOSPITAL (010090),2014,Acute Care,Voluntary non-profit - Church,349.0,30.68169,-88.198329,AL,39.8,40.0,11.9,,2.4,9.5
48,GROVE HILL MEMORIAL HOSPITAL (010091),2014,Acute Care,Government - Hospital District or Authority,31.0,31.694213,-87.777231,AL,36.9,45.7,5.4,,,43.8
49,D C H REGIONAL MEDICAL CENTER (010092),2014,Acute Care,Government - Hospital District or Authority,593.0,33.20613,-87.525154,AL,2.1,45.8,15.5,4.6,2.7,0.2
50,HALE COUNTY HOSPITAL (010095),2014,Acute Care,Government - Local,30.0,32.412098,-87.018633,AL,0.0,,,,0.7,
51,ELMORE COMMUNITY HOSPITAL (010097),2014,Acute Care,Government - State,34.0,32.551957,-86.185643,AL,22.6,,7.7,,,
52,D W MCMILLAN MEMORIAL HOSPITAL (010099),2014,Acute Care,Government - Hospital District or Authority,48.0,31.127105,-87.072378,AL,27.3,35.1,11.6,4.0,,4.5
53,THOMAS HOSPITAL (010100),2014,Acute Care,Government - Hospital District or Authority,133.0,30.519999,-87.890333,AL,4.0,33.2,6.1,3.7,1.8,2.3
