,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,6.5,36.1,5.5,7.5,0.7,1.1
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,6.5,36.1,5.5,7.5,0.7,1.1
2,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,14.9,44.0,6.7,4.3,1.0,7.4
3,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,14.9,44.0,6.7,4.3,1.0,7.4
4,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,12.1,41.0,8.5,2.6,1.1,3.9
5,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,12.1,41.0,8.5,2.6,1.1,3.9
6,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,8.7,,26.6,,,8.3
7,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,8.7,,26.6,,,8.3
8,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,0.9,,,,,1.9
9,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,0.9,,,,,1.9
10,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,3.1,40.4,,,0.9,5.9
11,ST VINCENT'S EAST (010011),2018,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,3.1,40.4,,,0.9,5.9
12,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,7.6,51.1,3.0,5.2,1.5,3.3
13,DEKALB REGIONAL MEDICAL CENTER (010012),2018,Acute Care,Proprietary,115.0,,,AL,7.6,51.1,3.0,5.2,1.5,3.3
14,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,15.2,35.1,8.4,,1.2,0.8
15,SHELBY BAPTIST MEDICAL CENTER (010016),2018,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,15.2,35.1,8.4,,1.2,0.8
16,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,21.8,43.7,4.7,3.6,1.0,2.1
17,HELEN KELLER MEMORIAL HOSPITAL (010019),2018,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,21.8,43.7,4.7,3.6,1.0,2.1
18,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,7.6,,7.9,3.0,1.1,1.7
19,DALE MEDICAL CENTER (010021),2018,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,7.6,,7.9,3.0,1.1,1.7
20,CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,4.4,,5.7,,,0.0
21,FLOYD CHEROKEE MEDICAL CENTER (010022),2018,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,4.4,,5.7,,,0.0
22,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,5.2,43.7,4.0,0.0,2.2,0.4
23,BAPTIST MEDICAL CENTER SOUTH (010023),2018,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,5.2,43.7,4.0,0.0,2.2,0.4
24,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,12.5,50.6,4.1,,1.2,0.3
25,JACKSON HOSPITAL & CLINIC INC (010024),2018,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,12.5,50.6,4.1,,1.2,0.3
26,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,10.4,44.3,6.6,5.4,0.8,0.0
27,EAST ALABAMA MEDICAL CENTER (010029),2018,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,10.4,44.3,6.6,5.4,0.8,0.0
28,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,1.8,,,,0.6,
29,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2018,Acute Care,Government - Hospital District or Authority,30.0,,,AL,1.8,,,,0.6,
30,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,20.3,45.5,7.0,9.7,1.1,0.8
31,UNIVERSITY OF ALABAMA HOSPITAL (010033),2018,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,20.3,45.5,7.0,9.7,1.1,0.8
32,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,17.9,,8.0,,0.7,1.3
33,COMMUNITY HOSPITAL INC (010034),2018,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,17.9,,8.0,,0.7,1.3
34,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,10.2,49.2,6.3,4.8,1.5,7.4
35,CULLMAN REGIONAL MEDICAL CENTER (010035),2018,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,10.2,49.2,6.3,4.8,1.5,7.4
36,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,9.9,39.2,5.7,2.3,1.9,16.4
37,ANDALUSIA HEALTH (010036),2018,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,9.9,39.2,5.7,2.3,1.9,16.4
38,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,9.5,46.2,10.3,7.8,0.7,7.8
39,STRINGFELLOW MEMORIAL HOSPITAL (010038),2018,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,9.5,46.2,10.3,7.8,0.7,7.8
40,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,16.4,41.1,7.3,5.4,2.1,0.1
41,HUNTSVILLE HOSPITAL (010039),2018,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,16.4,41.1,7.3,5.4,2.1,0.1
42,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,14.2,48.3,7.3,,1.5,9.0
43,GADSDEN REGIONAL MEDICAL CENTER (010040),2018,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,14.2,48.3,7.3,,1.5,9.0
44,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,5.6,,,,0.5,2.4
45,MARION REGIONAL MEDICAL CENTER (010044),2018,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,5.6,,,,0.5,2.4
46,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,3.8,41.2,13.4,,,0.5
47,FAYETTE MEDICAL CENTER (010045),2018,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,3.8,41.2,13.4,,,0.5
48,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,3.6,,,,0.4,4.5
49,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2018,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,3.6,,,,0.4,4.5
50,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,1.9,,,,,
51,GEORGIANA MEDICAL CENTER (010047),2018,Acute Care,Proprietary,22.0,,,AL,1.9,,,,,
52,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,3.6,39.4,5.4,,4.9,0.8
53,MEDICAL CENTER ENTERPRISE (010049),2018,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,3.6,39.4,5.4,,4.9,0.8
54,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,7.4,,,
55,GREENE COUNTY HOSPITAL (010051),2018,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,7.4,,,
56,LAKE MARTIN COMMUNITY HOSPITAL (010052),2018,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,1.4,,,,,
