,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2019,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.0072,14.7514,798.0,119.0,14.8575,1.1392,12.3077,290.0,44.0,14.0204,0.9913,18.3745,569.0,103.0,18.2153,1.0135,21.3101,1061.0,230.0,21.5968,1.0468,4.8582,335.0,18.0,5.0853,1.0454,16.2104,604.0,105.0,16.9464
1,MARSHALL MEDICAL CENTER SOUTH (010005),2019,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9518,15.3444,,,14.6054,,,,,,0.9054,18.4842,641.0,100.0,16.7351,1.0288,21.1089,337.0,75.0,21.7164,1.0913,4.8946,284.0,17.0,5.3414,0.9677,15.6471,759.0,113.0,15.1414
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2019,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,1.0332,14.4479,402.0,62.0,14.9282,1.1655,12.6221,136.0,24.0,14.7113,0.9974,18.219,689.0,125.0,18.1708,0.9558,20.5763,823.0,159.0,19.6662,1.3032,4.357,431.0,30.0,5.6779,0.9817,15.9934,854.0,133.0,15.7014
3,MIZELL MEMORIAL HOSPITAL (010007),2019,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,1.0096,17.3113,139.0,25.0,17.4782,1.1313,19.5551,82.0,26.0,22.1229,1.1117,4.9569,,,5.5104,0.9891,14.0497,206.0,28.0,13.897
4,CRENSHAW COMMUNITY HOSPITAL (010008),2019,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,,,,,0.973,17.1698,,,16.7064,1.0064,18.3098,,,18.4275,,,,,,0.9805,13.5898,,,13.3243
5,ST VINCENT'S EAST (010011),2019,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.9481,14.5332,212.0,26.0,13.7787,1.0112,13.8711,112.0,16.0,14.026,0.9531,19.606,319.0,56.0,18.6865,0.9563,21.3879,454.0,90.0,20.4522,0.9986,4.8546,,,4.8478,1.0099,16.2897,507.0,84.0,16.4515
6,DEKALB REGIONAL MEDICAL CENTER (010012),2019,Acute Care,Proprietary,115.0,,,AL,0.9661,13.8468,120.0,14.0,13.3768,,,,,,0.9921,15.9902,199.0,31.0,15.8641,1.0578,19.6646,156.0,36.0,20.8006,,,,,,1.0008,15.4934,277.0,43.0,15.5061
7,SHELBY BAPTIST MEDICAL CENTER (010016),2019,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,1.0075,14.4946,216.0,32.0,14.6035,1.0032,12.8843,,,12.9251,1.0074,17.9123,263.0,48.0,18.0443,0.9699,21.6959,437.0,90.0,21.0436,1.011,4.8739,,,4.9276,0.9828,15.7585,394.0,60.0,15.4876
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2019,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,,,,,1.0306,17.2907,431.0,79.0,17.8195,1.0618,20.5496,372.0,85.0,21.8192,1.0077,3.9606,422.0,17.0,3.9911,1.0528,15.3267,415.0,70.0,16.1354
9,DALE MEDICAL CENTER (010021),2019,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,,,,,,0.9344,19.2873,139.0,20.0,18.0219,1.0429,21.2679,87.0,22.0,22.1793,,,,,,0.9534,15.9931,143.0,19.0,15.2484
10,FLOYD CHEROKEE MEDICAL CENTER (010022),2019,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,0.966,16.2752,,,15.7225,1.009,19.9608,,,20.1397,,,,,,0.9202,15.7707,,,14.5115
11,BAPTIST MEDICAL CENTER SOUTH (010023),2019,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.0291,16.3559,417.0,72.0,16.8317,1.3264,11.7128,127.0,27.0,15.5354,1.0155,20.8513,240.0,52.0,21.1738,1.0435,22.3721,622.0,148.0,23.3456,0.9677,4.2595,623.0,25.0,4.1218,1.082,17.5864,253.0,53.0,19.029
12,JACKSON HOSPITAL & CLINIC INC (010024),2019,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.087,15.6073,270.0,51.0,16.965,1.1183,13.0814,185.0,30.0,14.6288,0.9537,18.7815,377.0,64.0,17.9114,1.0641,21.2993,547.0,128.0,22.665,1.003,3.9705,350.0,14.0,3.9824,1.1265,16.2657,561.0,110.0,18.3238
13,EAST ALABAMA MEDICAL CENTER (010029),2019,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.0049,14.6107,250.0,37.0,14.6817,0.7689,13.091,,,10.0662,0.918,18.4947,520.0,82.0,16.9791,0.977,19.9673,802.0,155.0,19.5084,1.2428,4.1065,754.0,43.0,5.1034,1.078,15.5166,649.0,113.0,16.7266
14,TANNER MEDICAL CENTER-EAST ALABAMA (010032),2019,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,,,,,0.9453,18.321,,,17.3181,,,,,,,,,,,0.9893,14.5864,,,14.4309
15,UNIVERSITY OF ALABAMA HOSPITAL (010033),2019,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.9877,17.4701,474.0,81.0,17.2546,1.0268,13.8113,256.0,37.0,14.1821,0.9637,20.0049,305.0,56.0,19.2778,0.9946,22.2891,809.0,179.0,22.1693,1.1316,4.4337,307.0,18.0,5.0171,1.0961,17.6701,699.0,141.0,19.3675
16,COMMUNITY HOSPITAL INC (010034),2019,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,,,,,,0.9865,18.3245,94.0,16.0,18.0779,1.0163,21.3176,106.0,24.0,21.6652,,,,,,0.9586,14.1382,99.0,11.0,13.5531
17,CULLMAN REGIONAL MEDICAL CENTER (010035),2019,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.0506,14.5487,98.0,18.0,15.2847,,,,,,0.9731,17.7092,412.0,69.0,17.2323,1.0834,19.9527,661.0,148.0,21.6177,1.2678,4.3165,330.0,23.0,5.4726,0.9992,15.4814,595.0,92.0,15.4697
18,ANDALUSIA HEALTH (010036),2019,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,1.0077,20.2154,,,20.3713,,,,,,1.0369,18.8716,216.0,45.0,19.5685,0.971,21.9114,164.0,33.0,21.2757,0.9967,4.5823,,,4.567,1.0739,15.6041,315.0,57.0,16.7579
19,STRINGFELLOW MEMORIAL HOSPITAL (010038),2019,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,1.008,16.5391,69.0,12.0,16.6711,,,,,,0.9927,17.5221,302.0,52.0,17.3949,1.0212,21.0784,161.0,36.0,21.5242,1.2019,4.604,,,5.5336,1.0547,15.5342,170.0,31.0,16.3838
20,HUNTSVILLE HOSPITAL (010039),2019,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,1.0199,14.055,1080.0,156.0,14.3343,0.8575,12.5943,573.0,58.0,10.8001,1.0688,19.2286,1445.0,302.0,20.5513,0.9861,21.5501,1896.0,402.0,21.25,1.0468,3.8617,1832.0,75.0,4.0426,1.0603,16.69,1630.0,292.0,17.6971
