,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.9875,15.1026,810.0,120.0,14.9136,1.0499,12.6826,275.0,38.0,13.3154,0.9891,18.4823,617.0,112.0,18.2801,0.9506,21.1865,1053.0,209.0,20.1391,1.1004,4.8322,342.0,20.0,5.3174,1.0855,16.1968,656.0,120.0,17.5821
1,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2018,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.9875,15.1026,810.0,120.0,14.9136,1.0499,12.6826,275.0,38.0,13.3154,0.9891,18.4823,617.0,112.0,18.2801,0.9506,21.1865,1053.0,209.0,20.1391,1.1004,4.8322,342.0,20.0,5.3174,1.0855,16.1968,656.0,120.0,17.5821
2,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9695,15.5282,,,15.0547,,,,,,0.8724,18.5763,627.0,92.0,16.2068,1.099,20.9143,362.0,89.0,22.9839,1.3111,5.1607,263.0,23.0,6.766,0.9192,16.0006,841.0,119.0,14.7072
3,MARSHALL MEDICAL CENTER SOUTH (010005),2018,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9695,15.5282,,,15.0547,,,,,,0.8724,18.5763,627.0,92.0,16.2068,1.099,20.9143,362.0,89.0,22.9839,1.3111,5.1607,263.0,23.0,6.766,0.9192,16.0006,841.0,119.0,14.7072
4,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,1.0417,14.6807,395.0,63.0,15.2925,1.1007,13.1255,147.0,24.0,14.4479,0.9935,18.2241,693.0,125.0,18.1048,1.0014,20.7518,885.0,184.0,20.7812,1.1851,4.2728,411.0,24.0,5.0638,1.0529,16.2399,942.0,164.0,17.0988
5,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2018,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,1.0417,14.6807,395.0,63.0,15.2925,1.1007,13.1255,147.0,24.0,14.4479,0.9935,18.2241,693.0,125.0,18.1048,1.0014,20.7518,885.0,184.0,20.7812,1.1851,4.2728,411.0,24.0,5.0638,1.0529,16.2399,942.0,164.0,17.0988
6,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,0.9982,16.9134,137.0,23.0,16.8823,1.0145,19.2522,98.0,20.0,19.5317,1.1843,4.4833,,,5.3097,1.0184,13.4606,197.0,28.0,13.7089
7,MIZELL MEMORIAL HOSPITAL (010007),2018,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,0.9982,16.9134,137.0,23.0,16.8823,1.0145,19.2522,98.0,20.0,19.5317,1.1843,4.4833,,,5.3097,1.0184,13.4606,197.0,28.0,13.7089
8,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,,,,,0.9554,17.6555,,,16.8684,1.0237,18.106,,,18.5346,,,,,,0.9493,13.4419,,,12.7607
9,CRENSHAW COMMUNITY HOSPITAL (010008),2018,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,,,,,0.9554,17.6555,,,16.8684,1.0237,18.106,,,18.5346,,,,,,0.9493,13.4419,,,12.7607
