,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2014,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.9808,16.4,747.0,119.0,16.0,0.913,21.4,901.0,171.0,19.5,0.969,16.2,368.0,56.0,15.7
1,MARSHALL MEDICAL CENTER SOUTH (010005),2014,Acute Care,Government - Hospital District or Authority,193.0,,,AL,,,,,,0.9453,23.1,248.0,51.0,21.8,0.9377,17.6,331.0,51.0,16.5
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2014,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.9275,15.1,310.0,40.0,14.0,0.8248,21.4,652.0,105.0,17.7,0.9425,15.5,793.0,113.0,14.7
3,MIZELL MEMORIAL HOSPITAL (010007),2014,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,1.0685,20.7,115.0,29.0,22.1,1.0439,15.5,220.0,38.0,16.2
4,CRENSHAW COMMUNITY HOSPITAL (010008),2014,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,0.9892,19.0,51.0,,18.8,0.9814,14.3,57.0,,14.1
5,ST VINCENT'S EAST (010011),2014,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.0027,15.8,239.0,38.0,15.8,0.9039,21.5,388.0,70.0,19.4,0.9735,16.9,484.0,78.0,16.4
6,DEKALB REGIONAL MEDICAL CENTER (010012),2014,Acute Care,Proprietary,115.0,,,AL,1.0357,16.3,85.0,16.0,16.9,1.0763,20.7,148.0,37.0,22.3,0.9553,15.5,240.0,33.0,14.8
7,SHELBY BAPTIST MEDICAL CENTER (010016),2014,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,1.0405,16.9,234.0,43.0,17.6,1.0205,22.2,309.0,71.0,22.6,0.9347,17.4,331.0,50.0,16.3
8,CALLAHAN EYE HOSPITAL (010018),2014,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,0.0,,,,,0.0,,,,,0.0,,
9,HELEN KELLER MEMORIAL HOSPITAL (010019),2014,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,1.0303,20.3,36.0,,20.9,0.9085,21.7,305.0,55.0,19.7,0.9496,16.3,334.0,49.0,15.5
10,DALE MEDICAL CENTER (010021),2014,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,0.9321,23.7,90.0,16.0,22.1,0.9978,17.6,166.0,29.0,17.5
11,CHEROKEE MEDICAL CENTER (010022),2014,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,1.006,20.4,57.0,12.0,20.5,1.0194,16.1,97.0,17.0,16.4
12,BAPTIST MEDICAL CENTER SOUTH (010023),2014,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.0562,16.3,385.0,69.0,17.3,1.0136,22.5,537.0,123.0,22.8,1.0483,18.4,193.0,40.0,19.3
13,JACKSON HOSPITAL & CLINIC INC (010024),2014,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,0.8616,17.9,246.0,31.0,15.4,0.9808,21.8,537.0,114.0,21.4,1.0374,17.0,311.0,57.0,17.7
14,GEORGE H. LANIER MEMORIAL HOSPITAL (010025),2014,Acute Care,Voluntary non-profit - Other,187.0,,,AL,1.0237,20.0,53.0,12.0,20.5,1.0141,21.1,211.0,46.0,21.4,0.9855,16.7,114.0,18.0,16.5
15,EAST ALABAMA MEDICAL CENTER (010029),2014,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.1755,16.4,309.0,67.0,19.2,0.9593,21.1,782.0,156.0,20.2,0.8908,15.4,264.0,30.0,13.7
16,WEDOWEE HOSPITAL (010032),2014,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,1.038,22.4,60.0,16.0,23.2,1.1009,17.9,114.0,28.0,19.7
17,UNIVERSITY OF ALABAMA HOSPITAL (010033),2014,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,1.1171,17.3,273.0,58.0,19.3,0.9991,23.1,568.0,131.0,23.1,1.2007,17.7,440.0,104.0,21.2
18,COMMUNITY HOSPITAL INC (010034),2014,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,1.0754,21.0,111.0,29.0,22.6,1.0471,16.0,98.0,19.0,16.8
19,CULLMAN REGIONAL MEDICAL CENTER (010035),2014,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,0.9178,19.6,106.0,15.0,18.0,1.039,21.8,490.0,113.0,22.6,0.9873,17.5,456.0,78.0,17.3
20,ANDALUSIA REGIONAL HOSPITAL (010036),2014,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,,,,,,0.9493,22.3,188.0,37.0,21.2,1.0671,15.8,270.0,49.0,16.8
21,STRINGFELLOW MEMORIAL HOSPITAL (010038),2014,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,1.0171,14.8,48.0,,15.1,1.0136,21.7,229.0,51.0,22.0,1.0238,16.8,231.0,41.0,17.2
22,HUNTSVILLE HOSPITAL (010039),2014,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9154,15.7,1150.0,161.0,14.3,0.9597,23.6,1723.0,388.0,22.7,0.9045,18.2,944.0,150.0,16.5
23,GADSDEN REGIONAL MEDICAL CENTER (010040),2014,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.1711,15.7,210.0,46.0,18.4,1.0289,23.2,459.0,111.0,23.8,0.9995,17.2,437.0,75.0,17.2
24,MARION REGIONAL MEDICAL CENTER (010044),2014,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,1.0049,22.7,69.0,16.0,22.8,0.9453,15.1,182.0,23.0,14.3
25,FAYETTE MEDICAL CENTER (010045),2014,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,,,,0.9328,21.6,113.0,19.0,20.1,1.0493,17.3,161.0,32.0,18.2
26,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2014,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,0.9857,16.5,121.0,19.0,16.3,1.2238,23.0,445.0,137.0,28.2,1.0867,17.7,361.0,74.0,19.2
27,GEORGIANA MEDICAL CENTER (010047),2014,Acute Care,Proprietary,22.0,,,AL,,,,,,1.0702,22.3,85.0,24.0,23.8,0.9601,16.1,118.0,16.0,15.5
28,MEDICAL CENTER ENTERPRISE (010049),2014,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,1.0213,21.4,173.0,39.0,21.9,1.0483,15.5,187.0,33.0,16.3
29,GREENE COUNTY HOSPITAL (010051),2014,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,,,1.1298,19.5,43.0,16.0,22.0,1.0357,13.4,37.0,,13.9
30,LAKE MARTIN COMMUNITY HOSPITAL (010052),2014,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,1.0115,22.3,46.0,11.0,22.5,1.0393,17.2,94.0,19.0,17.9
31,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS (010054),2014,Acute Care,Proprietary,114.0,,,AL,,,,,,1.0903,22.0,238.0,62.0,24.0,1.1188,17.7,250.0,56.0,19.8
32,FLOWERS HOSPITAL (010055),2014,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,1.093,15.7,326.0,60.0,17.2,1.0395,21.1,592.0,132.0,21.9,1.0118,15.9,463.0,75.0,16.1
33,ST VINCENT'S BIRMINGHAM (010056),2014,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,1.0423,16.6,278.0,50.0,17.3,1.0385,21.2,550.0,123.0,22.0,1.0649,15.9,494.0,87.0,16.9
34,BIBB MEDICAL CENTER (010058),2014,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,1.005,16.3,47.0,,16.4
35,LAWRENCE MEDICAL CENTER (010059),2014,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,1.059,23.2,93.0,26.0,24.5,0.9625,19.1,148.0,25.0,18.4
36,HIGHLANDS MEDICAL CENTER (010061),2014,Acute Care,Government - Hospital District or Authority,178.0,34.661254,-86.047116,AL,,,,,,1.0267,21.7,146.0,34.0,22.3,1.0625,16.8,390.0,73.0,17.8
37,WIREGRASS MEDICAL CENTER (010062),2014,Acute Care,Voluntary non-profit - Private,175.0,31.048063,-85.890837,AL,,,,,,0.9273,22.0,113.0,19.0,20.4,1.0248,16.6,210.0,37.0,17.0
38,RUSSELL HOSPITAL (010065),2014,Acute Care,Voluntary non-profit - Private,56.0,32.93103,-85.968394,AL,1.052,18.4,65.0,15.0,19.3,0.9546,22.6,197.0,40.0,21.6,0.9879,17.9,196.0,34.0,17.7
39,FLORALA MEMORIAL HOSPITAL (010066),2014,Acute Care,Proprietary,22.0,,,AL,,,0.0,,,1.0678,20.1,63.0,17.0,21.4,0.9467,14.4,80.0,,13.6
