,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2020,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.0446,14.6404,742.0,116.0,15.2935,1.2361,11.8065,279.0,46.0,14.5943,1.0249,18.1637,495.0,94.0,18.6162,1.0453,21.4082,1114.0,252.0,22.3772,1.1787,4.7392,301.0,20.0,5.5863,1.0049,16.7237,605.0,102.0,16.8059
1,MARSHALL MEDICAL CENTERS SOUTH CAMPUS (010005),2020,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9255,15.2379,,,14.1024,,,,,,0.9028,17.8526,636.0,95.0,16.1179,0.9911,20.5744,341.0,69.0,20.3917,1.0232,4.7767,257.0,13.0,4.8877,0.9833,15.3333,697.0,104.0,15.0773
2,NORTH ALABAMA MEDICAL CENTER (010006),2020,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.9673,13.9685,458.0,60.0,13.5122,1.0096,12.2079,136.0,17.0,12.3254,1.0018,17.8263,632.0,113.0,17.8584,0.9469,20.5458,793.0,151.0,19.4539,1.1841,4.1869,399.0,23.0,4.9578,0.9827,15.8209,837.0,129.0,15.5479
3,MIZELL MEMORIAL HOSPITAL (010007),2020,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,1.0361,18.1544,140.0,29.0,18.8096,1.0744,18.5387,79.0,20.0,19.9189,1.1268,4.8053,,,5.4144,1.059,14.459,211.0,36.0,15.3122
4,CRENSHAW COMMUNITY HOSPITAL (010008),2020,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,,,,,0.9728,16.6962,,,16.2425,,,,,,,,,,,0.961,13.8483,,,13.3078
5,ST VINCENT'S EAST (010011),2020,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,0.9533,13.7859,165.0,19.0,13.1426,1.0967,14.3802,99.0,18.0,15.7703,0.9219,19.4219,308.0,49.0,17.9044,1.0427,21.4507,449.0,103.0,22.3671,1.0344,5.0208,,,5.1935,1.0048,16.4729,421.0,70.0,16.552
6,DEKALB REGIONAL MEDICAL CENTER (010012),2020,Acute Care,Proprietary,115.0,,,AL,1.0053,13.3845,87.0,12.0,13.4547,,,,,,1.022,16.6702,196.0,35.0,17.0367,1.0326,19.5349,159.0,34.0,20.1724,,,,,,0.9782,15.0527,356.0,51.0,14.7245
7,SHELBY BAPTIST MEDICAL CENTER (010016),2020,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.9327,14.2755,210.0,24.0,13.3153,0.8833,12.085,,,10.6747,1.0394,18.2263,238.0,48.0,18.9437,0.9552,21.7563,384.0,77.0,20.7808,1.0222,4.6123,,,4.7148,0.9819,15.9903,377.0,58.0,15.7011
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2020,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,,,,,1.0252,16.993,420.0,75.0,17.4208,1.0056,20.3464,360.0,74.0,20.4614,1.1861,3.8064,438.0,23.0,4.5149,0.9808,14.9345,384.0,55.0,14.6481
9,DALE MEDICAL CENTER (010021),2020,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,,,,,,0.9273,18.0546,111.0,13.0,16.7412,1.0372,20.4985,79.0,19.0,21.2604,,,,,,0.9673,15.5827,127.0,17.0,15.0738
