,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2017,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,0.9837,15.6121,781.0,119.0,15.358,1.0618,13.0809,273.0,40.0,13.8887,1.0455,18.8932,709.0,143.0,19.7525,0.9509,21.2964,983.0,196.0,20.2502,1.1198,5.0034,335.0,21.0,5.6025,1.0892,15.8507,664.0,119.0,17.2654
1,MARSHALL MEDICAL CENTER SOUTH (010005),2017,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9905,16.5529,,,16.3958,,,,,,0.9014,18.9196,667.0,107.0,17.0536,1.0001,21.5891,389.0,84.0,21.5918,1.2776,5.375,249.0,22.0,6.8669,0.9553,16.2681,890.0,136.0,15.5403
2,ELIZA COFFEE MEMORIAL HOSPITAL (010006),2017,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.9591,15.0476,356.0,49.0,14.4326,1.0648,13.1837,134.0,21.0,14.0381,0.994,18.1154,713.0,128.0,18.0069,0.9436,20.7614,804.0,154.0,19.5895,1.0982,4.3799,378.0,20.0,4.8098,1.0426,16.2224,892.0,153.0,16.9133
3,MIZELL MEMORIAL HOSPITAL (010007),2017,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,0.996,16.4118,130.0,21.0,16.3468,0.9608,19.8237,107.0,18.0,19.0462,,,,,,1.0116,14.051,200.0,29.0,14.2141
4,CRENSHAW COMMUNITY HOSPITAL (010008),2017,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,,,,,0.962,16.3947,,,15.7724,1.0559,18.1984,,,19.2152,,,,,,0.9349,13.6069,,,12.721
5,ST VINCENT'S EAST (010011),2017,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.0611,15.1673,277.0,48.0,16.0942,1.0542,13.4464,128.0,20.0,14.1747,0.9713,19.0898,280.0,50.0,18.542,0.8962,21.5774,386.0,68.0,19.3386,1.1338,4.565,281.0,17.0,5.1758,0.9793,16.3951,617.0,98.0,16.0565
6,DEKALB REGIONAL MEDICAL CENTER (010012),2017,Acute Care,Proprietary,115.0,,,AL,0.9497,15.3426,130.0,16.0,14.5701,,,,,,0.9634,16.3285,212.0,31.0,15.7316,1.0718,19.2942,183.0,42.0,20.6785,,,,,,1.1339,15.1175,301.0,58.0,17.1411
7,SHELBY BAPTIST MEDICAL CENTER (010016),2017,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,1.0659,14.4505,210.0,36.0,15.4033,1.1098,13.4355,56.0,12.0,14.9106,0.8979,18.878,295.0,43.0,16.9503,0.9841,22.3537,450.0,98.0,21.9988,1.0941,4.4943,188.0,11.0,4.9173,0.9968,17.0789,465.0,79.0,17.0247
8,HELEN KELLER MEMORIAL HOSPITAL (010019),2017,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,,,,,1.1553,17.344,492.0,108.0,20.0374,1.0225,20.7111,395.0,85.0,21.1765,0.8969,4.0716,386.0,12.0,3.6518,1.0674,15.6776,512.0,89.0,16.7346
9,DALE MEDICAL CENTER (010021),2017,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,,,,,,0.9984,19.8197,137.0,27.0,19.7874,0.9686,21.4124,101.0,19.0,20.7402,1.1144,5.2515,,,5.8521,0.9591,16.6408,170.0,25.0,15.9605
10,CHEROKEE MEDICAL CENTER (010022),2017,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,0.9607,17.8512,85.0,12.0,17.1491,0.9699,21.9288,,,21.2696,,,,,,0.8993,15.9428,121.0,12.0,14.3374
11,BAPTIST MEDICAL CENTER SOUTH (010023),2017,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.0884,16.1203,382.0,72.0,17.5449,1.0936,13.1474,159.0,26.0,14.3778,0.9784,19.9234,264.0,50.0,19.4923,1.0667,22.082,556.0,135.0,23.5551,1.0368,4.3891,490.0,23.0,4.5506,1.0846,17.3926,269.0,55.0,18.8647
12,JACKSON HOSPITAL & CLINIC INC (010024),2017,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.0767,16.8014,280.0,55.0,18.0898,0.9801,14.0628,201.0,27.0,13.7835,0.8619,19.3902,429.0,62.0,16.7124,0.8653,21.6365,586.0,101.0,18.7222,1.0829,4.1409,367.0,18.0,4.4844,0.9887,17.0703,596.0,100.0,16.8771
13,EAST ALABAMA MEDICAL CENTER (010029),2017,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,1.0013,14.3961,277.0,40.0,14.4144,0.8755,13.1861,152.0,13.0,11.5447,0.9653,18.8047,492.0,87.0,18.1516,1.0639,20.5777,741.0,166.0,21.8919,1.3205,4.3182,676.0,44.0,5.7023,0.9232,15.9287,619.0,87.0,14.7046
14,WEDOWEE HOSPITAL (010032),2017,Acute Care,Government - Hospital District or Authority,30.0,,,AL,,,,,,,,,,,0.9336,17.9504,,,16.7585,0.9854,21.68,,,21.3636,,,,,,0.9539,15.4471,,,14.7344
