,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-CABG (Excess Readmission Ratio),READM-30-CABG (Expected Readmission Rate),READM-30-CABG (Number of Discharges),READM-30-CABG (Number of Readmissions),READM-30-CABG (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
0,SOUTHEAST ALABAMA MEDICAL CENTER (010001),2021,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,1.0204,15.6225,620.0,100.0,15.9416,1.1868,11.6339,268.0,41.0,13.8076,1.056,18.6179,444.0,92.0,19.6598,1.0702,21.9048,1107.0,264.0,23.4423,1.1735,4.6146,258.0,17.0,5.415,0.9232,17.0594,594.0,88.0,15.7486
1,MARSHALL MEDICAL CENTERS (010005),2021,Acute Care,Government - Hospital District or Authority,193.0,,,AL,0.9156,17.0164,,,15.5809,,,,,,0.9562,17.8307,591.0,97.0,17.0502,1.0267,20.6023,304.0,66.0,21.1525,0.9705,4.4548,,,4.3234,0.9796,15.4186,625.0,93.0,15.104
2,NORTH ALABAMA MEDICAL CENTER (010006),2021,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,0.9166,14.2461,443.0,53.0,13.0581,1.045,11.7632,130.0,17.0,12.2931,0.9531,17.8425,565.0,92.0,17.0053,0.863,20.945,771.0,130.0,18.0749,1.1624,3.9969,392.0,21.0,4.6458,1.0523,15.7317,764.0,130.0,16.5547
3,MIZELL MEMORIAL HOSPITAL (010007),2021,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,,,,,,,,,,,0.9899,18.473,136.0,24.0,18.2871,1.124,18.808,83.0,25.0,21.141,,,,,,1.0448,14.3773,200.0,33.0,15.0216
4,CRENSHAW COMMUNITY HOSPITAL (010008),2021,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,,,,,,,,,0.9889,16.6601,,,16.4755,,,,,,,,,,,0.9655,14.1577,,,13.6691
5,ST. VINCENT'S EAST (010011),2021,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,1.0611,14.1174,158.0,27.0,14.98,1.2155,14.2492,82.0,19.0,17.3204,0.9297,19.135,260.0,40.0,17.79,0.9291,21.5125,434.0,82.0,19.9873,0.9656,5.0442,,,4.8706,0.9799,16.2858,391.0,61.0,15.959
6,DEKALB REGIONAL MEDICAL CENTER (010012),2021,Acute Care,Proprietary,115.0,,,AL,1.0634,14.0384,84.0,16.0,14.9279,,,,,,1.0069,16.042,176.0,29.0,16.1528,1.0652,19.7053,176.0,41.0,20.9891,,,,,,0.9623,14.9291,380.0,52.0,14.3659
7,SHELBY BAPTIST MEDICAL CENTER (010016),2021,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,0.9052,15.8363,179.0,20.0,14.3356,0.876,11.614,,,10.1742,1.0063,18.9847,217.0,42.0,19.1044,0.9727,22.7584,329.0,71.0,22.1377,0.9995,4.2241,,,4.2221,1.0528,15.9911,359.0,64.0,16.8358
8,HELEN KELLER HOSPITAL (010019),2021,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,,,,,,,,,,,1.0663,16.9167,419.0,81.0,18.0389,0.9281,20.6203,375.0,67.0,19.1377,1.1959,3.7197,398.0,21.0,4.4483,0.9689,14.8534,397.0,55.0,14.3916
9,DALE MEDICAL CENTER (010021),2021,Acute Care,Government - Hospital District or Authority,89.0,31.451345,-85.630966,AL,,,,,,,,,,,0.9481,17.7273,98.0,12.0,16.8065,1.0011,21.1395,80.0,17.0,21.1624,,,,,,0.9938,14.9596,97.0,14.0,14.8665
10,CHEROKEE MEDICAL CENTER (010022),2021,Acute Care,Voluntary non-profit - Private,45.0,34.162761,-85.65142,AL,,,,,,,,,,,0.9681,15.9636,,,15.4548,,,,,,,,,,,1.0074,14.6792,,,14.7878
11,BAPTIST MEDICAL CENTER SOUTH (010023),2021,Acute Care,Government - Hospital District or Authority,400.0,32.327144,-86.276764,AL,1.0627,16.6053,331.0,62.0,17.6468,0.9434,11.4213,,,10.7747,1.0529,21.922,231.0,58.0,23.0818,0.9656,22.3096,577.0,122.0,21.5416,0.9461,4.0612,547.0,20.0,3.8425,1.0365,17.1871,216.0,41.0,17.8136
12,JACKSON HOSPITAL & CLINIC INC (010024),2021,Acute Care,Voluntary non-profit - Private,262.0,32.366606,-86.285155,AL,1.1027,15.7671,249.0,49.0,17.386,1.13,12.8428,159.0,26.0,14.5128,1.0003,19.0933,314.0,60.0,19.0994,1.1512,21.5179,511.0,136.0,24.7724,0.9313,3.7681,,,3.5093,1.0908,16.8307,435.0,86.0,18.3587
13,EAST ALABAMA MEDICAL CENTER AND SNF (010029),2021,Acute Care,Government - Hospital District or Authority,345.0,32.638055,-85.404003,AL,0.9787,14.8636,249.0,35.0,14.5463,0.8483,11.6865,,,9.9141,0.9645,19.4433,470.0,85.0,18.7526,1.0423,20.863,705.0,156.0,21.7462,1.2778,3.9722,679.0,39.0,5.0757,0.9749,16.0507,484.0,74.0,15.6485
14,UNIVERSITY OF ALABAMA HOSPITAL (010033),2021,Acute Care,Government - State,1194.0,33.506129,-86.801922,AL,0.9955,17.5542,362.0,63.0,17.476,1.1316,14.6217,296.0,52.0,16.5462,0.9835,20.0565,271.0,52.0,19.7262,1.0758,22.5004,930.0,230.0,24.2055,1.1877,4.0253,184.0,12.0,4.781,1.0727,17.6353,571.0,113.0,18.9167
15,COMMUNITY HOSPITAL INC (010034),2021,Acute Care,Voluntary non-profit - Private,47.0,32.535293,-85.911996,AL,,,,,,,,,,,0.9542,17.5923,,,16.7869,0.9846,19.5537,83.0,15.0,19.2535,,,,,,1.0061,14.4784,,,14.5664
16,CULLMAN REGIONAL MEDICAL CENTER (010035),2021,Acute Care,Government - Hospital District or Authority,125.0,34.198587,-86.805641,AL,1.0264,14.7183,116.0,19.0,15.1065,,,,,,1.0669,17.3587,332.0,67.0,18.5208,1.0564,20.1,638.0,139.0,21.2332,0.955,4.2137,,,4.0243,1.1131,15.4792,549.0,102.0,17.2303
17,ANDALUSIA HEALTH (010036),2021,Acute Care,Proprietary,87.0,31.297462,-86.495599,AL,0.9878,22.0635,,,21.7934,,,,,,1.0114,19.5454,258.0,52.0,19.7688,0.9556,21.925,267.0,53.0,20.9525,1.0688,4.641,,,4.9601,0.9691,15.7241,270.0,39.0,15.2384
18,STRINGFELLOW MEMORIAL HOSPITAL (010038),2021,Acute Care,Proprietary,125.0,33.667701,-85.825025,AL,0.9664,16.261,,,15.7149,,,,,,0.909,17.2409,255.0,32.0,15.6716,1.0931,20.7797,124.0,34.0,22.7148,1.2539,3.9332,,,4.9319,0.9638,14.9941,121.0,15.0,14.4509
19,HUNTSVILLE HOSPITAL (010039),2021,Acute Care,Government - Hospital District or Authority,889.0,34.721226,-86.581547,AL,0.9256,14.4426,1147.0,149.0,13.3677,0.9478,12.4141,461.0,53.0,11.7666,1.098,19.2377,1334.0,290.0,21.1223,0.9887,21.7873,1800.0,387.0,21.5411,1.1987,3.8179,1544.0,74.0,4.5766,1.0685,16.3622,1678.0,298.0,17.483
20,GADSDEN REGIONAL MEDICAL CENTER (010040),2021,Acute Care,Proprietary,277.0,34.009389,-85.96752,AL,1.0978,16.4503,241.0,49.0,18.0588,0.9767,13.8045,108.0,14.0,13.4826,1.0499,20.4117,395.0,89.0,21.4305,1.1439,24.0434,428.0,127.0,27.5027,1.1188,4.4107,444.0,24.0,4.9348,1.0505,17.7457,582.0,112.0,18.6421
21,MARION REGIONAL MEDICAL CENTER (010044),2021,Acute Care,Voluntary non-profit - Private,115.0,34.125852,-87.989806,AL,,,,,,,,,,,0.9815,17.0246,129.0,20.0,16.7096,0.902,17.8114,,,16.0657,,,,,,0.9593,13.836,179.0,21.0,13.2731
22,FAYETTE MEDICAL CENTER (010045),2021,Acute Care,Voluntary non-profit - Other,162.0,33.707708,-87.823706,AL,,,0.0,,,,,,,,0.9977,18.5698,109.0,20.0,18.5276,0.9509,21.6493,,,20.5855,,,,,,0.96,16.2862,101.0,13.0,15.6349
23,RIVERVIEW REGIONAL MEDICAL CENTER (010046),2021,Acute Care,Proprietary,281.0,34.003811,-86.004086,AL,1.1085,16.1992,78.0,20.0,17.9573,,,,,,1.0408,19.8698,278.0,61.0,20.6796,1.0623,23.513,376.0,98.0,24.9772,0.977,5.2886,,,5.1668,1.1588,18.0552,394.0,93.0,20.9223
24,MEDICAL CENTER ENTERPRISE (010049),2021,Acute Care,Proprietary,110.0,31.318191,-85.855308,AL,,,,,,,,,,,0.9372,16.5375,170.0,21.0,15.4985,1.0643,20.4112,115.0,29.0,21.7236,0.863,3.9833,,,3.4377,1.0114,13.9113,151.0,22.0,14.0695
25,GREENE COUNTY HOSPITAL (010051),2021,Acute Care,Government - Local,90.0,32.844744,-87.889307,AL,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LAKE MARTIN COMMUNITY HOSPITAL (010052),2021,Acute Care,Proprietary,46.0,32.8187,-85.741758,AL,,,,,,,,,,,1.0283,20.9787,72.0,18.0,21.5716,,,,,,,,,,,1.0033,15.7246,100.0,16.0,15.7764
27,FLOWERS HOSPITAL (010055),2021,Acute Care,Proprietary,229.0,31.235991,-85.457937,AL,0.8552,14.1514,319.0,30.0,12.1028,0.9551,11.4087,,,10.8968,1.0496,18.8569,388.0,81.0,19.7917,0.9799,20.99,546.0,111.0,20.5687,1.1033,3.7879,555.0,25.0,4.1792,1.0014,15.4018,531.0,82.0,15.424
28,ST VINCENT'S BIRMINGHAM (010056),2021,Acute Care,Voluntary non-profit - Private,421.0,33.508015,-86.788755,AL,0.9942,15.6845,233.0,36.0,15.5937,1.1132,12.7179,102.0,17.0,14.1572,0.9815,19.1874,306.0,56.0,18.832,0.9354,20.9463,466.0,87.0,19.5927,1.0877,3.5644,1611.0,64.0,3.8771,1.0024,15.7592,594.0,94.0,15.797
29,BIBB MEDICAL CENTER (010058),2021,Acute Care,Government - Hospital District or Authority,156.0,32.951101,-87.147865,AL,,,,,,,,,,,,,,,,0.9403,20.1783,,,18.9727,,,,,,1.0106,16.1905,75.0,13.0,16.3615
30,LAWRENCE MEDICAL CENTER (010059),2021,Acute Care,Government - Hospital District or Authority,42.0,34.482884,-87.286019,AL,,,,,,,,,,,1.0821,18.5939,75.0,22.0,20.1209,0.9534,23.6894,,,22.5864,,,,,,0.9869,18.6922,81.0,14.0,18.4475
