,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
0,SOUTHEAST HEALTH MEDICAL CENTER (010001),2023,Acute Care,Government - Hospital District or Authority,377.0,31.214058,-85.361725,AL,614.0,22.2,2912.0,14.2,403.0,16.9,117.0,19.0,49.0,3.8,274.0,13.0,126.0,10.5,214.0,4.7,274.0,-15.4,262.0,64.0,614.0,23.4,533.0,183.0,403.0,23.6,379.0,96.0,10.2,254.0,14.1,688.0,1.0
1,MARSHALL MEDICAL CENTERS (010005),2023,Acute Care,Government - Hospital District or Authority,193.0,,,AL,129.0,20.0,1052.0,12.8,285.0,16.2,136.0,16.6,172.0,3.4,,,,,108.0,5.7,,,,,129.0,22.1,121.0,38.0,285.0,-6.2,266.0,75.0,11.1,850.0,14.6,362.0,0.9
2,NORTH ALABAMA MEDICAL CENTER (010006),2023,Acute Care,Government - Hospital District or Authority,314.0,34.802756,-87.652191,AL,441.0,19.4,2310.0,13.4,472.0,16.4,158.0,17.6,138.0,5.3,273.0,14.5,89.0,12.4,,,273.0,28.1,263.0,67.0,441.0,-4.7,385.0,107.0,472.0,-0.4,445.0,114.0,,1505.0,12.5,468.0,1.1
3,MIZELL MEMORIAL HOSPITAL (010007),2023,Acute Care,Voluntary non-profit - Private,64.0,31.291972,-86.255415,AL,31.0,21.0,258.0,15.7,72.0,16.5,34.0,20.0,26.0,4.2,,,,,,,,,,,31.0,-1.9,29.0,17.0,72.0,-9.4,66.0,18.0,,118.0,15.3,56.0,1.0
4,CRENSHAW COMMUNITY HOSPITAL (010008),2023,Acute Care,Proprietary,49.0,31.692595,-86.266156,AL,,,69.0,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,14.3,,
5,ST. VINCENT'S EAST (010011),2023,Acute Care,Voluntary non-profit - Private,328.0,33.595351,-86.665182,AL,251.0,20.2,1366.0,14.9,309.0,17.8,47.0,19.7,27.0,4.2,127.0,14.1,64.0,12.6,,,127.0,-9.0,125.0,35.0,251.0,26.0,222.0,62.0,309.0,14.5,289.0,81.0,,72.0,13.6,131.0,1.1
6,DEKALB REGIONAL MEDICAL CENTER (010012),2023,Acute Care,Proprietary,115.0,,,AL,82.0,19.9,355.0,14.7,151.0,16.7,,,37.0,3.9,45.0,14.6,,,,,,,,,82.0,24.2,73.0,24.0,151.0,7.5,138.0,33.0,,528.0,13.8,118.0,1.0
7,SHELBY BAPTIST MEDICAL CENTER (010016),2023,Acute Care,Voluntary non-profit - Private,239.0,33.253679,-86.814261,AL,186.0,19.8,1091.0,14.5,168.0,17.0,62.0,18.5,82.0,4.7,72.0,14.5,30.0,12.2,,,72.0,46.0,71.0,15.0,186.0,-0.2,163.0,54.0,168.0,24.8,156.0,38.0,,133.0,13.6,247.0,0.9
8,CALLAHAN EYE HOSPITAL (010018),2023,Acute Care,Voluntary non-profit - Private,11.0,33.503137,-86.802401,AL,,,28.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,0.9
9,HELEN KELLER HOSPITAL (010019),2023,Acute Care,Government - Hospital District or Authority,181.0,34.748249,-87.698866,AL,208.0,18.9,1063.0,13.8,208.0,16.8,160.0,17.7,122.0,4.4,,,,,27.0,5.1,,,,,208.0,1.8,185.0,53.0,208.0,-4.0,197.0,46.0,11.3,997.0,14.9,246.0,1.2
